	Ar	Gata3	Klf5	Klf7	Maz	Mecom	Nfe2	Pou2f2	Prdm16	Stat1	Zfp148
Art2b	0	1.0	0	0	0	0	1.0	0	0	0	0
Asah1	0	0	0	0	0	0	1.0	0	0	0	0
Asap1	0	0	0	0	0	0	0	-1.0	0	0	0
Asb2	0	1.0	0	0	0	1.0	0	0	0	0	0
Asns	0	0	0	-1.0	0	0	0	0	0	0	0
Asph	0	0	0	0	0	0	0	-1.0	0	-1.0	0
Asxl2	1.0	1.0	0	0	0	0	0	0	0	0	0
Atg2a	0	0	0	-1.0	0	0	0	0	0	0	0
Atg4c	0	0	0	0	0	0	1.0	0	0	0	0
Atn1	0	1.0	0	0	0	0	0	1.0	0	0	0
Atp10a	0	-1.0	0	0	0	0	0	0	0	-1.0	0
Atp10d	0	0	0	0	0	1.0	0	0	0	0	0
Atp13a3	1.0	0	0	0	0	0	0	0	0	0	0
Atp2b1	0	0	0	0	0	0	0	1.0	0	0	0
Atp6v0a1	0	0	0	0	0	0	0	1.0	0	0	0
Atp6v1g3	0	0	0	0	0	0	0	0	0	-1.0	0
Atp8a1	1.0	0	0	0	0	1.0	1.0	0	0	0	0
Atp8a2	0	1.0	0	0	0	0	1.0	0	0	0	0
Atxn1	0	1.0	0	0	0	0	1.0	1.0	0	0	0
Atxn10	0	0	0	0	0	0	1.0	0	0	0	0
Auts2	0	0	0	0	0	0	0	0	0	0	-1.0
Avpi1	0	0	0	0	-1.0	0	0	-1.0	0	-1.0	0
B230118h07rik	0	0	0	0	0	0	1.0	1.0	0	0	0
B3galt2	0	0	0	0	0	1.0	0	1.0	0	0	0
B3galt4	0	0	0	0	-1.0	0	0	0	0	0	-1.0
B3galt5	0	0	0	0	-1.0	0	0	0	0	0	0
B4galnt1	0	0	0	0	0	0	0	0	0	0	-1.0
B4galnt4	0	0	-1.0	0	-1.0	0	0	0	0	0	0
B4galt1	0	1.0	0	0	0	0	1.0	0	0	0	0
B4galt5	0	0	-1.0	-1.0	-1.0	0	0	-1.0	0	-1.0	0
Bach2	0	-1.0	0	0	0	0	0	0	0	-1.0	0
Baiap2	0	0	0	0	0	0	0	-1.0	0	0	0
Baiap2l1	0	0	0	-1.0	0	0	0	0	0	0	0
Basp1	0	0	0	0	0	1.0	0	1.0	0	0	0
Bbs9	1.0	1.0	0	0	0	1.0	1.0	0	0	0	0
Bbx	0	0	0	0	0	1.0	0	0	0	0	0
Bc022687	0	0	0	-1.0	0	0	0	0	0	0	0
Bc030336	0	0	0	0	0	0	0	0	0	-1.0	0
Bc035044	0	-1.0	0	0	0	0	0	0	0	-1.0	0
Bc053393	0	0	0	0	0	0	0	0	0	-1.0	0
Bcl11b	0	0	0	0	0	0	1.0	0	0	0	0
Bcl2l11	0	0	0	0	-1.0	0	0	0	0	0	0
Bcl6	0	0	-1.0	0	-1.0	-1.0	0	-1.0	0	-1.0	-1.0
Bdh1	1.0	0	0	0	0	0	1.0	0	0	0	0
Bend4	0	0	-1.0	-1.0	0	0	0	0	0	0	-1.0
Bet1l	0	0	0	0	0	0	0	-1.0	0	0	-1.0
Bivm	0	0	0	0	0	0	0	1.0	0	0	0
Bmp2	0	1.0	0	0	0	0	0	0	0	0	0
