	Ar	Gata3	Klf5	Klf7	Maz	Mecom	Nfe2	Pou2f2	Prdm16	Stat1	Zfp148
Fbxl21	0	0	0	0	0	0	1.0	1.0	0	0	0
Fbxo11	0	0	0	0	0	-1.0	0	0	0	-1.0	0
Fbxo21	0	0	0	-1.0	-1.0	0	0	0	0	0	-1.0
Fbxo34	0	0	0	0	0	0	1.0	0	0	0	0
Fbxo42	0	0	0	0	-1.0	0	0	0	0	0	0
Fbxw11	0	-1.0	0	0	0	0	0	0	0	0	0
Fcrl1	1.0	0	0	0	0	0	0	0	0	0	0
Fes	0	0	0	0	0	-1.0	0	-1.0	0	0	0
Fez1	0	0	0	0	0	0	0	1.0	0	0	0
Fgd3	0	0	-1.0	0	0	0	0	0	0	0	-1.0
Fgfr1op	0	0	0	0	0	0	0	0	0	-1.0	0
Fkbp5	1.0	0	0	0	0	0	1.0	1.0	0	0	0
Flt3l	1.0	0	0	0	0	0	0	1.0	0	0	0
Fmn1	0	-1.0	-1.0	-1.0	0	-1.0	0	0	0	0	0
Fmnl2	0	-1.0	0	0	0	-1.0	0	0	0	0	0
Fndc3b	0	0	0	0	-1.0	0	0	0	0	0	0
Fnip2	0	0	0	0	0	1.0	1.0	0	0	0	0
Fos	0	0	0	0	0	1.0	0	0	0	0	0
Fosb	0	0	0	0	0	0	1.0	0	0	0	0
Foxm1	0	-1.0	-1.0	-1.0	-1.0	0	0	0	0	0	0
Foxn2	1.0	0	0	0	0	0	1.0	0	0	0	0
Foxo1	0	0	0	0	-1.0	0	0	0	0	0	-1.0
Foxo3	0	1.0	0	0	0	0	0	0	0	0	0
Foxp3	1.0	0	0	0	0	0	0	0	0	0	0
Foxp4	0	0	0	0	-1.0	0	0	0	0	-1.0	0
Foxq1	0	-1.0	0	0	0	0	0	0	0	0	0
Foxs1	0	0	0	0	-1.0	0	0	0	0	-1.0	0
Frem1	0	0	0	0	0	0	0	0	0	0	-1.0
Frmd4a	1.0	1.0	0	0	0	1.0	1.0	0	0	0	0
Frmd4b	1.0	1.0	0	0	0	1.0	1.0	0	0	0	0
Frmd5	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Frmd6	0	0	-1.0	0	0	0	0	0	0	0	-1.0
Fry	0	0	-1.0	-1.0	0	0	0	0	0	0	-1.0
Fryl	0	0	-1.0	-1.0	-1.0	0	0	-1.0	0	0	-1.0
Fto	0	1.0	0	0	0	0	0	0	0	0	0
Furin	0	0	0	0	-1.0	-1.0	0	0	0	0	0
Fyb	0	0	0	0	0	0	0	1.0	0	0	0
Fyco1	0	1.0	0	0	0	1.0	1.0	0	0	0	0
Fyn	0	0	0	0	0	0	0	-1.0	0	-1.0	0
Fzd6	0	0	0	0	0	0	0	1.0	0	0	0
Fzd7	0	0	0	0	0	1.0	0	0	0	0	0
Fzd8	0	0	0	0	0	0	0	1.0	0	0	0
Gabarapl1	0	0	-1.0	0	-1.0	0	0	-1.0	0	0	-1.0
Gabpb2	0	1.0	0	0	0	0	0	0	0	0	0
Gadd45g	0	0	0	0	-1.0	0	0	-1.0	0	-1.0	0
Galc	0	1.0	0	0	0	1.0	0	1.0	0	0	0
Galm	0	0	0	0	0	0	1.0	0	0	0	0
Galnt10	0	0	0	0	0	0	1.0	0	0	0	0
Galnt2	0	0	-1.0	-1.0	0	0	0	0	0	-1.0	-1.0
Galnt6	0	0	0	0	0	0	1.0	0	0	0	0
Galnt7	1.0	0	0	0	0	1.0	0	0	0	0	0
Garnl3	0	0	-1.0	-1.0	0	0	0	0	0	0	-1.0
Gas7	0	0	0	0	-1.0	-1.0	0	0	0	0	0
Gata3	0	0	0	0	0	0	1.0	0	0	0	0
Gatad2a	0	0	0	0	-1.0	0	0	0	0	-1.0	-1.0
Gbp4	0	0	0	0	0	1.0	1.0	0	0	0	0
Gbp6	0	0	0	0	0	0	0	1.0	0	0	0
Gbp9	0	0	0	0	0	1.0	1.0	0	0	0	0
Gch1	0	0	0	0	0	0	0	-1.0	0	0	0
Gcnt1	0	0	0	0	0	0	1.0	0	0	0	0
Gcnt2	0	0	0	0	0	0	0	0	0	-1.0	0
Gcsh	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Gdpd5	0	0	0	0	0	0	0	-1.0	0	0	0
Gfm1	0	1.0	0	0	0	0	0	0	0	0	0
Gfod1	0	-1.0	0	0	0	0	0	-1.0	0	0	-1.0
Gfpt1	0	0	0	0	0	1.0	0	0	0	0	0
Gfpt2	0	1.0	0	0	0	0	0	0	0	0	0
Ggh	0	0	0	0	0	0	1.0	0	0	0	0
Ggta1	0	0	0	0	-1.0	0	0	0	0	-1.0	-1.0
Gimap3	1.0	0	0	0	0	0	0	0	0	0	0
Gimap5	0	0	0	0	0	-1.0	0	0	0	-1.0	0
Glb1	0	0	0	0	0	0	1.0	0	0	0	0
Glcci1	1.0	1.0	0	0	0	1.0	1.0	1.0	0	0	0
Gldc	0	0	0	0	0	-1.0	0	0	0	-1.0	0
Glrx	1.0	0	0	0	0	1.0	0	0	0	0	0
Glt25d1	0	0	0	0	0	0	0	0	0	0	-1.0
Gm11346	0	0	0	0	0	0	0	-1.0	0	-1.0	0
Gm12185	0	0	0	0	0	0	1.0	0	0	0	0
Gm12250	0	0	0	0	0	0	1.0	0	0	0	0
Gm13889	0	0	0	0	0	0	0	-1.0	0	0	0
Gm14005	1.0	1.0	0	0	0	0	1.0	1.0	0	0	0
Gm1966	0	1.0	0	0	0	0	0	0	0	0	0
Gm2a	0	0	0	0	0	0	0	1.0	0	0	0
Gm4759	0	0	0	0	0	0	0	1.0	0	0	0
Gm4956	0	0	0	0	0	1.0	1.0	0	0	0	0
Gm5127	0	1.0	0	0	0	1.0	0	1.0	0	0	0
Gm5544	0	1.0	0	0	0	1.0	1.0	1.0	0	0	0
Gm614	0	0	0	0	0	0	0	1.0	0	0	0
Gm766	0	0	0	0	0	0	0	0	0	-1.0	0
Gm8234	0	1.0	0	0	0	1.0	0	0	0	0	0
Gm973	0	0	0	0	0	0	0	1.0	0	0	0
Gna11	0	0	0	-1.0	0	0	0	0	0	0	-1.0
Gna14	0	-1.0	0	0	0	0	0	0	0	0	0
Gna15	0	0	0	0	0	0	1.0	0	0	0	0
Gnal	0	0	0	0	0	0	0	0	0	-1.0	0
Gnao1	0	-1.0	0	0	0	0	0	0	0	0	0
Gnaq	0	1.0	0	0	0	0	1.0	0	0	0	0
Gng12	0	-1.0	0	0	0	0	0	0	0	0	-1.0
Gnptab	0	0	0	0	0	0	0	0	0	0	-1.0
Gpank1	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Gpr114	0	0	-1.0	0	0	0	0	0	0	0	-1.0
Gpr15	0	-1.0	0	0	0	0	0	0	0	0	0
Gpr155	0	0	0	0	0	0	0	-1.0	0	-1.0	0
Gpr18	0	-1.0	0	0	0	0	0	-1.0	0	-1.0	0
Gpr25	0	0	0	0	0	0	1.0	0	0	0	0
Gpr55	0	-1.0	0	0	-1.0	0	0	0	0	-1.0	0
Gpr68	1.0	1.0	0	0	0	0	1.0	0	0	0	0
Gpr98	0	-1.0	0	0	0	0	0	0	0	0	0
Gprin3	0	-1.0	0	0	0	0	0	0	0	0	0
Gramd1a	0	-1.0	0	-1.0	0	-1.0	0	-1.0	-1.0	0	-1.0
Gramd3	0	-1.0	0	0	-1.0	0	0	-1.0	0	0	-1.0
Gramd4	0	-1.0	0	0	-1.0	0	0	-1.0	0	-1.0	-1.0
Grap	0	1.0	0	0	0	0	0	0	0	0	0
Grap2	0	0	0	0	0	1.0	1.0	1.0	0	0	0
Grb2	1.0	0	0	0	0	0	1.0	1.0	0	0	0
Grb7	0	0	-1.0	0	-1.0	0	0	0	0	-1.0	0
Grhl2	1.0	0	0	0	0	0	0	0	0	0	0
Grik4	0	0	0	0	0	0	0	-1.0	0	0	0
Gsg2	0	-1.0	0	0	0	-1.0	0	0	0	0	0
Gstm7	0	1.0	0	0	0	0	0	0	0	0	0
Gtdc1	0	0	0	0	0	0	0	1.0	0	0	0
Gtl3	0	0	0	0	0	1.0	0	0	0	0	0
Gtpbp1	0	-1.0	0	0	0	0	0	0	0	0	0
Gucy1a3	0	0	0	0	-1.0	-1.0	0	0	0	0	0
H2-dma	0	0	0	0	0	0	1.0	0	0	0	0
H2-ke6	0	0	0	0	0	0	0	1.0	0	0	0
H2-t10	0	0	0	0	0	0	0	1.0	0	0	0
Hacl1	0	0	0	0	0	0	1.0	0	0	0	0
Hdac11	0	1.0	0	0	0	0	0	0	0	0	0
Hebp1	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Heg1	0	0	0	0	0	0	1.0	1.0	0	0	0
Herc6	0	1.0	0	0	0	0	0	0	0	0	0
Hgsnat	0	0	0	0	0	0	0	-1.0	0	0	0
Hic1	0	0	0	0	0	0	0	1.0	0	0	0
Hif3a	0	1.0	0	0	0	1.0	0	0	0	0	0
Hipk1	0	0	0	0	0	0	0	-1.0	0	0	0
Hipk2	0	1.0	0	0	0	0	1.0	1.0	0	0	0
Hist1h2bc	1.0	0	0	0	0	0	0	0	0	0	0
Hivep1	0	0	-1.0	-1.0	0	0	0	0	0	-1.0	0
Hk2	0	0	0	0	-1.0	0	0	-1.0	0	0	0
Hk3	0	0	0	0	-1.0	0	0	0	0	0	-1.0
Hmgn1	0	0	0	0	0	0	1.0	0	0	0	0
Hormad2	0	0	0	0	0	0	0	1.0	0	0	0
Hpcal1	0	-1.0	0	0	0	0	0	0	0	0	0
Hpgds	0	0	0	0	0	0	1.0	0	0	0	0
Hpse	0	-1.0	0	0	0	0	0	0	0	0	0
Hrh4	0	1.0	0	0	0	0	0	0	0	0	0
Hs2st1	0	0	0	0	0	0	0	-1.0	0	0	0
Hs3st1	0	1.0	0	0	0	0	1.0	0	0	0	0
Hsd11b1	0	-1.0	0	-1.0	0	-1.0	0	0	-1.0	0	0
Hspa4l	0	0	0	0	0	-1.0	0	0	0	-1.0	0
Htr1b	0	0	0	0	0	1.0	1.0	0	0	0	0
Hvcn1	1.0	0	0	0	0	1.0	0	0	0	0	0
Icam2	0	0	0	0	-1.0	0	0	0	0	0	0
Ick	0	0	0	0	0	0	1.0	0	0	0	0
Ide	0	0	0	0	0	0	1.0	0	0	0	0
Idh3b	0	0	0	0	0	0	1.0	0	0	0	0
Iffo2	0	0	0	0	0	0	0	1.0	0	0	0
Ifnar1	0	1.0	0	0	0	0	0	0	0	0	0
Ift172	0	0	-1.0	0	0	0	0	0	0	0	-1.0
Ift81	1.0	0	0	0	0	0	1.0	0	0	0	0
Igf2r	0	0	-1.0	0	0	0	0	0	0	0	0
Igsf3	0	0	-1.0	0	0	0	0	0	0	0	0
Igsf5	0	1.0	0	0	0	0	1.0	1.0	0	0	0
Ikbip	0	0	0	0	0	1.0	1.0	0	0	0	0
Ikzf1	1.0	0	0	0	0	1.0	0	0	0	0	0
Ikzf2	0	0	0	0	0	-1.0	0	-1.0	0	0	-1.0
Ikzf3	1.0	1.0	0	0	0	0	1.0	1.0	0	0	0
Il12rb1	0	0	0	0	0	0	1.0	0	0	0	0
Il13	0	0	0	0	0	0	0	1.0	0	0	0
Il17a	0	0	0	0	0	0	1.0	1.0	0	0	0
Il17rb	1.0	1.0	0	0	0	0	1.0	1.0	0	0	0
Il17rd	0	0	-1.0	0	0	0	0	0	0	0	0
Il18r1	0	-1.0	0	0	0	-1.0	0	0	0	0	0
Il18rap	0	-1.0	0	0	0	0	0	0	0	0	0
Il1r1	0	0	0	0	-1.0	0	0	0	0	0	0
Il1rl1	0	0	0	0	0	0	1.0	0	0	0	0
Il2	0	1.0	0	0	0	0	0	0	0	0	0
Il21r	0	0	0	-1.0	-1.0	0	0	0	0	0	-1.0
Il2ra	0	1.0	0	0	0	0	0	0	0	0	0
Il4	0	0	0	0	0	0	0	1.0	0	0	0
Il4ra	0	0	0	0	0	0	0	0	0	-1.0	0
Il5	0	1.0	0	0	0	1.0	0	0	0	0	0
Il7r	1.0	1.0	0	0	0	1.0	1.0	1.0	0	0	0
Il9r	0	0	0	0	0	0	0	1.0	0	0	0
Impg1	1.0	1.0	0	0	0	0	0	0	0	0	0
Inpp4b	0	1.0	0	0	0	1.0	1.0	1.0	0	0	0
Ip6k1	0	0	0	0	0	0	0	0	0	-1.0	0
Ipmk	1.0	1.0	0	0	0	1.0	0	0	0	0	0
Ipo4	0	0	0	0	0	0	0	1.0	0	0	0
Iqgap1	0	0	0	0	-1.0	-1.0	0	0	0	0	0
Irak2	0	-1.0	0	0	-1.0	0	0	-1.0	0	0	-1.0
Irak3	0	1.0	0	0	0	0	1.0	1.0	0	0	0
Irf2bp2	0	0	0	0	0	0	1.0	1.0	0	0	0
Irf4	0	0	0	0	0	0	0	1.0	0	0	0
Irf7	0	0	0	0	-1.0	0	0	-1.0	0	-1.0	-1.0
Irs2	0	0	0	0	0	0	0	-1.0	0	0	0
Isoc2b	0	0	0	0	0	0	1.0	0	0	0	0
Itga2	1.0	0	0	0	0	0	1.0	1.0	0	0	0
Itga2b	0	0	0	-1.0	0	0	0	0	0	0	0
Itga4	0	1.0	0	0	0	0	1.0	0	0	0	0
Itga6	0	0	-1.0	0	-1.0	0	0	0	0	0	0
Itgae	0	1.0	0	0	0	1.0	0	0	0	0	0
Itgam	0	-1.0	0	0	0	0	0	0	0	-1.0	0
Itgav	0	-1.0	0	0	0	0	0	-1.0	0	-1.0	0
Itgax	0	-1.0	0	0	0	0	0	0	0	-1.0	0
Itgb2	0	-1.0	0	0	-1.0	0	0	0	0	0	0
Itgb3	0	0	0	0	0	1.0	1.0	0	0	0	0
Itgb4	0	0	0	0	0	0	0	0	0	0	-1.0
Itgb7	0	1.0	0	0	0	0	0	0	0	0	0
Itk	0	0	0	0	0	1.0	1.0	1.0	0	0	0
Itm2c	0	1.0	0	0	0	0	0	0	0	0	0
Itpk1	0	0	0	0	0	0	0	0	0	0	-1.0
Itpr2	0	0	0	0	0	1.0	1.0	1.0	0	0	0
Itpr3	1.0	0	0	0	0	0	0	1.0	0	0	0
Itsn1	0	0	0	0	0	0	0	0	0	0	-1.0
Jag1	0	0	0	0	0	0	1.0	1.0	0	0	0
Jdp2	0	0	0	0	0	0	1.0	1.0	0	0	0
Jmjd1c	0	0	0	0	0	1.0	0	0	0	0	0
Kank3	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Kat2b	0	1.0	0	0	0	0	0	0	0	0	0
Katnal1	0	1.0	0	0	0	0	0	0	0	0	0
Kbtbd11	0	0	0	0	0	0	0	0	0	-1.0	0
Kcna4	0	1.0	0	0	0	1.0	0	0	0	0	0
Kcnab2	0	0	0	0	0	0	1.0	0	0	0	0
Kcnc3	0	0	0	-1.0	0	0	0	0	0	0	0
Kcnd2	0	1.0	0	0	0	1.0	0	0	0	0	0
Kcnk5	0	1.0	0	0	0	0	0	0	0	0	0
Kcnn4	0	0	0	0	0	0	1.0	0	0	0	0
Kcnq5	0	0	0	0	0	0	1.0	1.0	0	0	0
Kctd10	0	0	0	0	-1.0	0	0	0	0	0	0
Kdm5b	0	0	0	0	-1.0	0	0	0	0	0	-1.0
Kdsr	0	1.0	0	0	0	1.0	0	0	0	0	0
Khdrbs3	0	0	0	0	0	0	0	0	0	-1.0	-1.0
Kif13a	0	0	0	0	0	0	1.0	0	0	0	0
Kif1b	0	0	0	0	0	0	0	0	0	-1.0	0
Kif23	0	1.0	0	0	0	0	0	0	0	0	0
Kif3a	0	0	0	0	0	0	0	1.0	0	0	0
Kifc3	0	1.0	0	0	0	0	0	0	0	0	0
Kit	0	-1.0	0	0	0	0	0	-1.0	0	-1.0	0
Klf12	0	-1.0	0	0	0	-1.0	0	-1.0	-1.0	0	0
Klf2	0	0	-1.0	0	-1.0	0	0	-1.0	0	0	0
Klf5	0	1.0	0	0	0	0	1.0	0	0	0	0
Klf7	1.0	1.0	0	0	0	1.0	1.0	1.0	0	0	0
Klra18	0	-1.0	0	0	0	0	0	0	0	0	0
Klra9	0	-1.0	0	0	0	0	0	0	0	0	0
Klrb1b	0	-1.0	0	0	0	-1.0	0	0	-1.0	0	0
Klrb1c	0	-1.0	0	0	0	-1.0	0	0	-1.0	0	0
Klrg1	0	1.0	0	0	0	1.0	0	0	0	0	0
Kmo	0	0	0	0	0	0	1.0	0	0	0	0
Kntc1	0	0	0	0	0	0	0	1.0	0	0	0
Ktn1	0	0	0	0	0	0	0	-1.0	0	0	0
Lamc1	1.0	1.0	0	0	0	0	1.0	1.0	0	0	0
Lcp2	0	0	0	0	0	0	1.0	0	0	0	0
Ldhb	0	0	0	0	-1.0	0	0	-1.0	0	0	0
Ldhd	0	1.0	0	0	0	0	1.0	0	0	0	0
Lef1	0	0	0	0	0	0	0	0	0	-1.0	0
Leng9	0	0	0	0	0	0	0	1.0	0	0	0
Lgals3	0	0	-1.0	0	0	0	0	0	0	0	0
Lgmn	0	0	0	0	0	0	1.0	0	0	0	0
Lgr4	0	-1.0	0	0	0	0	0	-1.0	0	0	0
Lilrb4	0	0	0	0	0	1.0	0	0	0	0	0
Limk1	1.0	0	0	0	0	0	0	0	0	0	0
Lmna	0	0	0	0	-1.0	0	0	0	0	0	0
Lmnb1	0	-1.0	0	0	0	0	0	0	0	-1.0	0
Lmo4	0	1.0	0	0	0	0	0	0	0	0	0
Lonrf1	0	0	0	0	0	0	1.0	0	0	0	0
Lonrf3	0	0	-1.0	0	-1.0	0	0	-1.0	0	0	-1.0
Loxl3	0	0	-1.0	0	0	0	0	-1.0	0	0	-1.0
Lpar2	0	0	0	0	0	0	1.0	0	0	0	0
Lpcat3	0	0	0	0	0	0	1.0	0	0	0	0
Lphn2	0	1.0	0	0	0	0	1.0	0	0	0	0
Lpin2	0	-1.0	0	0	0	0	0	-1.0	0	-1.0	0
Lrch1	1.0	0	0	0	0	0	0	0	0	0	0
Lrig3	0	0	0	0	0	0	1.0	0	0	0	0
Lrrc25	0	0	0	0	0	0	1.0	0	0	0	0
Lrrc27	0	0	0	-1.0	-1.0	0	0	0	0	-1.0	-1.0
Lrrc3	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Lrrc32	0	0	0	-1.0	0	0	0	0	0	0	0
Lrrc52	1.0	0	0	0	0	0	1.0	0	0	0	0
Lrrc58	0	1.0	0	0	0	0	0	0	0	0	0
Lrrc8b	0	0	0	0	0	-1.0	0	-1.0	0	0	0
Lrrc8d	0	-1.0	0	0	0	0	0	0	0	-1.0	0
Ltb4r1	1.0	0	0	0	0	0	0	0	0	0	0
Ly6a	0	0	0	0	0	1.0	0	0	0	0	0
Ly9	0	0	0	0	0	0	1.0	0	0	0	0
Lyn	0	0	0	0	0	-1.0	0	0	0	0	0
Lztfl1	0	0	0	0	0	0	1.0	0	0	0	0
Macf1	0	0	0	0	0	0	1.0	1.0	0	0	0
Magi1	0	0	0	0	0	0	0	1.0	0	0	0
Malt1	1.0	0	0	0	0	0	0	0	0	0	0
Maml3	0	-1.0	0	0	0	0	0	0	0	0	0
Man2a2	1.0	0	0	0	0	0	1.0	1.0	0	0	0
Man2b2	1.0	0	0	0	0	0	0	0	0	0	0
Mansc1	0	0	0	0	0	1.0	0	0	0	0	0
Map2k6	1.0	0	0	0	0	0	1.0	0	0	0	0
Map3k1	0	0	0	0	0	-1.0	0	0	0	0	0
Map3k11	0	0	0	0	0	0	0	0	0	-1.0	0
Map4k5	0	0	0	0	0	0	0	1.0	0	0	0
Mapk10	0	-1.0	0	0	0	0	0	0	0	0	0
Mapk11	0	1.0	0	0	0	1.0	0	1.0	0	0	0
Mapk8	0	-1.0	0	0	0	0	0	0	0	0	0
Mapkapk2	0	-1.0	0	0	-1.0	0	0	0	0	0	0
March3	0	0	0	0	0	0	0	0	0	-1.0	0
Mbd1	0	0	0	0	0	0	1.0	0	0	0	0
Mbd5	0	0	0	0	0	1.0	1.0	0	0	0	0
Mbnl1	0	0	0	0	0	0	1.0	1.0	0	0	0
Mbnl2	0	0	0	0	0	0	0	0	0	-1.0	0
Mboat1	0	0	0	0	0	1.0	0	0	0	0	0
Mbp	0	-1.0	0	0	0	-1.0	0	0	-1.0	0	0
Mcc	0	0	0	0	0	-1.0	0	0	0	0	0
Mctp1	0	0	0	0	0	0	0	1.0	0	0	0
Mdk	0	0	-1.0	0	0	0	0	0	0	0	-1.0
Mdm1	0	0	0	0	0	0	1.0	1.0	0	0	0
Mecom	0	1.0	0	0	0	0	0	0	0	0	0
Med12l	1.0	0	0	0	0	1.0	0	1.0	0	0	0
Med26	0	0	0	-1.0	0	0	0	0	0	0	0
Mepce	0	-1.0	0	0	-1.0	0	0	0	0	0	-1.0
Mfhas1	0	0	0	0	0	0	0	-1.0	0	-1.0	0
Mfsd2b	0	0	0	-1.0	0	0	0	0	0	0	0
Mgat4a	0	0	0	0	0	-1.0	0	0	0	0	0
Mgat5	0	0	0	0	0	1.0	1.0	1.0	0	0	0
Midn	0	0	-1.0	-1.0	-1.0	0	0	-1.0	0	0	-1.0
Mink1	0	0	0	0	0	0	0	1.0	0	0	0
Mitf	0	0	0	0	0	0	1.0	0	0	0	0
Mknk2	0	0	0	-1.0	-1.0	0	0	0	0	0	0
Mlkl	0	0	0	0	0	0	1.0	0	0	0	0
Mllt11	0	0	0	0	-1.0	0	0	0	0	0	-1.0
Mllt3	0	1.0	0	0	0	0	1.0	0	0	0	0
Mmp25	1.0	0	0	0	0	0	0	0	0	0	0
Mns1	0	0	0	0	0	0	1.0	0	0	0	0
Morn1	0	0	0	-1.0	0	0	0	0	0	0	0
Mras	0	0	0	0	0	1.0	1.0	0	0	0	0
Mrgpre	0	0	0	0	0	1.0	0	0	0	0	0
Mrpl53	0	0	-1.0	0	0	0	0	-1.0	0	0	0
Mrps27	1.0	0	0	0	0	1.0	1.0	1.0	0	0	0
Mrps6	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Msi2	1.0	1.0	0	0	0	1.0	0	1.0	0	0	0
Msn	0	1.0	0	0	0	0	0	1.0	0	0	0
Msrb3	0	-1.0	0	0	0	0	0	0	0	0	0
Mt1	0	0	0	0	0	0	0	-1.0	0	0	0
Mt2	0	0	0	0	0	0	0	-1.0	0	0	0
Mtap	0	0	0	0	0	1.0	0	0	0	0	0
Mthfd1l	1.0	0	0	0	0	1.0	0	0	0	0	0
Mthfr	0	-1.0	0	0	-1.0	0	0	0	0	0	0
Mtif3	0	0	-1.0	-1.0	0	0	0	0	0	-1.0	0
Mtss1	0	0	0	0	0	0	1.0	0	0	0	0
Mtus2	0	1.0	0	0	0	0	0	0	0	0	0
Mx2	0	0	0	0	-1.0	0	0	0	0	-1.0	0
Mxd4	1.0	0	0	0	0	0	0	0	0	0	0
Myh7b	0	0	0	-1.0	0	0	0	0	0	0	0
Mynn	0	1.0	0	0	0	0	0	0	0	0	0
Myo10	0	0	-1.0	0	0	0	0	-1.0	0	0	-1.0
Myo16	0	0	0	0	0	-1.0	0	-1.0	0	-1.0	-1.0
Myo1e	0	0	0	0	0	0	0	-1.0	0	0	0
Myo6	1.0	0	0	0	0	0	0	0	0	0	0
Naa50	0	0	0	0	0	0	1.0	0	0	0	0
Nab1	0	-1.0	0	0	0	0	0	0	0	0	0
Nabp1	0	0	0	0	0	0	0	0	0	-1.0	0
Napepld	0	0	0	0	0	0	1.0	0	0	0	0
Napsa	0	0	0	-1.0	0	0	0	0	0	0	0
Nav1	0	0	0	0	0	0	0	0	0	0	-1.0
Nav2	0	0	0	0	0	0	1.0	1.0	0	0	0
Nbeal2	0	0	0	0	0	1.0	1.0	0	0	0	0
Nbn	0	0	0	0	0	0	1.0	0	0	0	0
Ncald	0	0	0	0	0	0	0	0	0	-1.0	0
Nck2	1.0	1.0	0	0	0	0	1.0	1.0	0	0	0
Nckap5	1.0	1.0	0	0	0	1.0	1.0	0	0	0	0
Ncoa1	0	0	0	0	0	1.0	0	0	0	0	0
Ncoa2	0	1.0	0	0	0	0	1.0	1.0	0	0	0
Ndfip1	0	-1.0	0	0	0	-1.0	0	-1.0	0	0	-1.0
Ndrg1	0	0	0	-1.0	0	0	0	0	0	0	0
Ndufa6	0	1.0	0	0	0	0	0	0	0	0	0
Neb	0	0	0	0	0	1.0	1.0	0	0	0	0
Nebl	0	0	0	0	0	1.0	1.0	0	0	0	0
Nedd4l	0	0	0	0	0	0	1.0	1.0	0	0	0
Nedd9	0	0	0	0	0	1.0	1.0	0	0	0	0
Nek7	1.0	1.0	0	0	0	0	1.0	0	0	0	0
Neu3	0	0	0	0	0	0	1.0	0	0	0	0
Neurl3	0	0	0	-1.0	0	-1.0	0	0	-1.0	-1.0	0
Nf2	0	0	0	0	0	0	1.0	1.0	0	0	0
Nfatc1	0	0	0	0	-1.0	-1.0	0	0	0	0	0
Nfatc2	0	-1.0	0	0	0	-1.0	0	0	0	0	0
Nfe2l2	0	0	0	0	0	0	0	0	0	-1.0	0
Nfia	0	0	0	0	0	1.0	0	1.0	0	0	0
Nfkbid	0	0	-1.0	0	0	0	0	0	0	0	0
Nfkbiz	0	0	0	0	0	0	0	1.0	0	0	0
Nin	0	0	0	0	0	0	0	1.0	0	0	0
Nipa1	0	0	0	0	0	0	0	1.0	0	0	0
Nipbl	0	1.0	0	0	0	1.0	0	0	0	0	0
Nkain1	0	0	0	-1.0	0	0	0	0	0	0	0
Nln	0	-1.0	0	0	-1.0	0	0	-1.0	0	0	0
Nlrc3	0	1.0	0	0	0	0	0	0	0	0	0
Nod2	1.0	0	0	0	0	1.0	0	1.0	0	0	0
Noxa1	0	1.0	0	0	0	0	0	1.0	0	0	0
Npnt	0	0	0	0	0	0	1.0	0	0	0	0
Nr1d2	0	0	0	0	0	0	0	1.0	0	0	0
Nr3c1	0	1.0	0	0	0	0	0	1.0	0	0	0
Nr3c2	0	1.0	0	0	0	0	0	1.0	0	0	0
Nr4a1	1.0	0	0	0	0	0	0	1.0	0	0	0
Nrip1	1.0	0	0	0	0	0	1.0	1.0	0	0	0
Nrp1	0	-1.0	0	0	0	0	0	-1.0	0	-1.0	0
Nsg2	0	0	0	0	0	0	1.0	0	0	0	0
Nsmce1	0	-1.0	-1.0	-1.0	0	0	0	-1.0	0	0	0
Nt5e	0	0	0	0	0	-1.0	0	-1.0	-1.0	-1.0	0
Nucb2	0	0	0	0	0	0	0	1.0	0	0	0
Nudt3	0	0	0	0	0	1.0	0	0	0	0	0
Nup50	0	0	-1.0	0	0	0	0	0	0	0	-1.0
Nusap1	0	1.0	0	0	0	0	0	0	0	0	0
Oas1c	0	0	0	0	0	0	0	1.0	0	0	0
Ola1	0	0	0	0	0	1.0	0	1.0	0	0	0
Olfr1033	0	-1.0	0	0	-1.0	-1.0	0	0	0	0	0
Olfr525	0	-1.0	0	0	0	0	0	0	0	0	0
Orai1	0	0	0	0	0	0	0	-1.0	0	-1.0	-1.0
Orc4	0	1.0	0	0	0	1.0	0	1.0	0	0	0
Osbpl3	1.0	0	0	0	0	0	1.0	1.0	0	0	0
Ostf1	0	-1.0	0	0	-1.0	0	0	0	0	0	0
Oxnad1	0	-1.0	0	0	0	0	0	0	0	0	0
P2rx1	0	0	0	-1.0	0	0	0	-1.0	0	0	-1.0
P2ry14	1.0	0	0	0	0	0	0	1.0	0	0	0
P4ha2	0	0	0	0	0	0	0	1.0	0	0	0
Pacs2	0	1.0	0	0	0	0	0	0	0	0	0
Pacsin2	0	0	-1.0	-1.0	-1.0	0	0	-1.0	0	0	-1.0
Palld	0	0	0	-1.0	0	0	0	0	0	0	0
Palm2	0	0	0	0	-1.0	0	0	0	0	-1.0	0
Pam	0	0	-1.0	0	0	0	0	0	0	-1.0	0
Panx1	0	0	0	0	0	-1.0	0	0	0	0	0
Pard3b	0	1.0	0	0	0	0	0	1.0	0	0	0
Pbx2	0	0	0	0	0	0	0	1.0	0	0	0
Pbxip1	0	0	0	0	-1.0	0	0	-1.0	0	0	0
