	Bcl6	Cebpg	Eomes	Epas1	Esrra	Ets1	Ets2	Evx1	Foxm1	Foxo1	Gfi1	Irf3	Irf5	Irf7	Irf8	Klf8	Maf	Meis3	Nr3c1	Nr4a2	Runx2	Stat3	Tbx21	Tgif1	Trp53	Vdr	Zeb1
Aif1	0	0	0	0	0	-1.0	-1.0	0	0	0	0	-1.0	-1.0	0	-0.5	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0
Aim1	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	1.0	0	0	0	0	1.0	0	0	0
Aim1l	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
Akap13	0	0	0.5	0	0	1.0	1.0	0	0	1.0	0	1.0	0	0	0.5	1.0	0	0	1.0	0	1.0	1.0	1.0	0	1.0	0.5	0
Akr1c13	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0
Alad	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.5	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0
Alcam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0
Aldh1l1	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-1.0	0	0	-1.0	0	0	0	0	0
Aldh3b1	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0
Aldh7a1	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	1.0	0	0	0	0	0
Alg14	0	0	0	0	0	-1.0	-1.0	0	0	-1.0	0	-1.0	0	0	-0.5	0	0	0	0	0	0	-1.0	0	0	0	0	0
Ampd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
Amph	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amz2	0	0	0.5	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0.5	1.0
Ang	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0
Angpt1	-1.0	0	0	0	0	0	-1.0	0	0	-1.0	-1.0	-1.0	0	-1.0	-0.5	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Angptl4	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ank2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0
Ankmy2	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0
Ankrd13a	0	1.0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0
Ankrd13b	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0
Ankrd33b	0	0	0	0	0	-1.0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0
Ankrd54	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0
Anks6	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0
Ano10	1.0	0	0.5	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0	0
Antxr2	1.0	0	0	0	0	1.0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0
Anxa1	-1.0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0	0	0
Anxa6	0	0	0.5	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Aoah	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1.0
Ap1s2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Apba1	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0
Aplp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0
Aplp2	0	0	0.5	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	1.0	0	0	0	1.0	0	1.0	0	0
Apobec1	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol7b	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apol7e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.5	0
Appl2	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	1.0	0	0	0
Aprt	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0
Ar	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0
Arap3	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0
Arhgap15	0	0	0	0	0	-1.0	0	0	0	0	0	-1.0	0	-1.0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap17	0	0	0.5	0	0	1.0	0	0	0	1.0	0	1.0	0	0	0.5	0	0	0	0	0	1.0	0	1.0	0	0	0	0
Arhgap21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
Arhgap31	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap4	1.0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0.5	0	0	0	0	0	0	0	0	1.0	0	0	0
Arhgap9	1.0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
Arhgef10	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0.5	1.0
Arhgef6	-1.0	0	0	0	0	-1.0	-1.0	0	0	-1.0	0	0	0	0	-0.5	0	-1.0	0	0	-1.0	0	-1.0	0	0	0	0	0
Arhgef9	0	0	0	0	0	-1.0	-1.0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0
Arih2	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
Arl15	0	1.0	0.5	0	0	1.0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0.5	0	0	1.0	1.0	0	0	0	0	1.0
Arl4d	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0
Armc3	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armc7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0
Armc9	-1.0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	-1.0	-1.0	-0.5	0	-1.0	0	0	0	-1.0	0	-1.0	0	0	0	0
Arnt2	0	0	0	0	0	-1.0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0
Arntl	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	1.0	0	0
Arrb1	1.0	0	0	0	0	1.0	1.0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	1.0	1.0	0	0	0	0.5	1.0
Arsg	-1.0	0	-0.5	0	0	-1.0	-1.0	0	0	-1.0	0	-1.0	0	0	0	0	-1.0	0	-1.0	-1.0	0	0	0	0	0	0	0
Art2b	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As3mt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0
Asb14	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascc1	0	0	-0.5	0	0	-1.0	-1.0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-1.0	0	0	0	0
Asph	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asxl2	0	0	0	0	0	-1.0	-1.0	0	0	-1.0	0	0	-1.0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0
Atg13	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atm	-1.0	0	0	0	0	-1.0	0	0	0	0	0	-1.0	-1.0	0	-0.5	0	0	0	0	-1.0	0	0	0	0	0	0	0
Atp1a3	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	1.0	0	0.5	1.0
Atp1b1	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Atp2b1	-1.0	0	0	0	0	-1.0	0	0	-1.0	0	0	-1.0	0	-1.0	-0.5	0	-1.0	0	-1.0	0	0	-1.0	0	0	0	0	0
Atp2b4	0	1.0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0
Atp6v0d2	0	0	0	0	0	1.0	1.0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0
Atp8a1	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0
Atp8b4	1.0	1.0	0	0	0	1.0	0	0	0	0	0	1.0	1.0	0	0.5	0	1.0	0	0	0	0	1.0	0	0	0	0	0
Atrnl1	-1.0	0	-0.5	0	0	-1.0	-1.0	-1.0	0	-1.0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	-1.0	-1.0	0	0	0	0
Atrx	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0
Atxn10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0
Avpi1	-1.0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aw554918	0	0	-0.5	0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	0	-1.0	0	0	0	0
Axin2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
B3galnt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0
B3galt4	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0
B3galt5	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0.5	0	0	0	1.0	0	0	1.0	0	0	0	0	0
B4galnt1	0	0	0	0	0	1.0	1.0	0	0	0	0	1.0	1.0	0	0.5	0	0	0	1.0	0	0	0	0	0	0	0	0
B4galt1	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
B4galt5	0	1.0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0
B9d2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0
Bace1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0
Bach1	-1.0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0
Bach2	1.0	0	0	0	0	0	1.0	0	0	1.0	0	1.0	1.0	0	0.5	0	0	0	1.0	1.0	0	1.0	0	0	1.0	0	1.0
