	IL17pos_SC_EAE_1	IL17pos_SC_EAE_2	IL17neg_SC_EAE	IL17pos_SI_SS	IL17pos_SI_mock	IL17pos_SI_EAE	IL17neg_SI_EAE	IL17neg_SI_SS	IL17neg_SI_mock
Reln	0	0.245326994	0	52.76050187	28.47902534	35.45922684	5.959155271	15.24590816	18.57765226
Relt	68.459355	55.01281491	42.42108441	66.82416295	39.6242923	67.33206783	101.1846842	43.4917938	69.7487895
Rem1	0	0	0	6.737907761	8.570210195	3.317513921	1.932770454	0	3.714292142
Rem2	20.43985194	75.28184488	15.25979208	4.906139514	0.910045505	38.51562753	14.77693659	25.47750349	9.465835141
Ren1	0	0	0	0	0	0	0	0	0
Ren2	0	0	0	0	0	0	0	0	0
Renbp	0	717.4587944	1439.761383	1983.832556	1553.70769	1688.245973	1180.278491	2252.410902	425.2864503
Rep15	0	13.15097587	0	0	5.246199189	111.9193614	15.77510712	7.896335503	1.515786737
Reps1	24449.01273	27369.72438	33878.82958	40098.45366	41553.35186	47927.42735	62213.24425	55160.13437	59778.99851
Reps2	886.6666806	956.6117259	0	67376.83164	15455.30281	46680.00115	9294.693115	16542.29646	32747.05667
Rer1	3088.438784	3098.590156	2640.510995	1718.827842	2403.931963	2080.946667	2178.762604	2107.63078	1829.740321
Rere	113.597481	113.3234728	188.6091273	189.0968788	131.7069397	141.8982285	243.6460853	182.3661755	375.8179606
Rerg	0	0	0	1072.240949	174.63619	360.5406654	210.0495619	683.421146	630.7214305
Rergl	0	0	0	11.31217652	2.517970481	31.19046812	4.54286076	0	2.182555097
Resp18	0	0	0	0	4.837340473	0	0	0	6.289447504
Rest	779.1069039	737.6404764	663.5187246	1165.373743	1044.603605	750.4502669	531.9864594	689.2623524	873.7014651
Ret	10.4150354	6.741977708	21.42166506	308.1128612	207.0927202	206.8332674	67.93302198	205.2404146	174.8436855
Retn	0	0	11.82902545	0	0	4.161169652	0	10.92141051	0
Retnla	0	0	0	0	0	0	0	5.186756832	0
Retnlb	0	0	0	0	0	0	0	0	0
Retnlg	0	0	33.15240027	383.2074218	96.03075577	177.8489384	247.1450746	408.1158665	203.2001872
Retsat	1029.256599	952.6608256	975.9456355	1104.063756	979.6426092	1531.056938	1569.909016	1231.384807	1068.156211
Rev1	171.0089187	138.0375907	156.4076772	251.6123204	327.978948	428.3993477	344.2075074	295.831337	291.2743192
Rev3l	834.9132808	856.6451278	1026.125295	1469.340252	1245.473431	1929.729258	1538.221599	1190.358991	1214.947485
Rex2	0	0.358908852	0	0.385938188	0	0.443386261	0.387472616	0	0
Rexo1	244.2598629	219.5158742	212.3024025	408.0124705	327.1586717	353.248343	303.6844864	297.2271546	388.5022917
Rexo2	5806.223347	5002.856859	4086.243702	4763.86375	5549.531986	4874.398001	2667.360768	3003.580921	2995.005648
Rexo4	457.7159213	404.4945242	423.5334888	459.9855311	531.5136531	460.8445222	410.8789518	651.3393251	484.2038191
Rfc1	369.6949211	480.9405986	489.5798771	202.3527888	283.0561579	243.7405124	314.7461404	245.4401904	260.1725901
Rfc2	410.915685	539.7483157	304.4554703	207.3571139	246.6151378	157.6474748	278.595874	224.7594627	269.6562638
Rfc3	253.9588517	269.2684858	174.1933525	298.4366306	346.2779322	316.5982263	367.1977527	377.8178821	230.3197401
Rfc4	567.6562589	427.1711901	335.0760456	213.1749896	262.6723614	698.2757501	425.4971903	382.6086249	287.6629156
Rfc5	181.4335289	278.6891964	260.4886202	225.6498046	222.3498927	298.1754665	217.5925267	231.2813847	202.1954366
Rfesd	293.8111345	491.2112488	531.7162612	119.6916026	269.3166875	439.4279358	394.4628051	251.0635213	193.2794239
Rffl	890.2133473	749.9835931	710.2822823	1032.768534	636.5295084	1243.224335	937.7312609	601.7260336	1129.277288
Rfk	997.7679448	1171.868635	1155.521626	736.0553419	842.714604	1033.455487	1188.36259	1026.603788	946.3565934
Rfng	169.5467449	37.26178819	101.2863296	102.7196901	68.10646502	37.66271116	43.88429233	42.46871435	41.46442492
Rfpl3s	0	1.811764632	5.453641603	27.2749145	13.00951415	2.238204889	0	3.916263366	3.758844889
Rfpl4	0	0	0	6.650779643	0	30.56307365	106.835553	0	19.24787814
Rfpl4b	0	0	0	0	0	0	0	0	0
Rft1	88.74155545	157.5500731	138.0176664	95.13311152	90.64906397	116.0312636	93.54878346	128.3634702	99.94590776
Rftn1	687.3090758	760.9877006	577.0349869	633.2719518	557.7097929	490.2962743	320.1063118	319.3557634	471.7310091
Rftn2	3.256256852	13.6621642	18.79993101	36.93751828	9.343067834	18.32454144	18.12077457	13.07835938	19.03145296
Rfwd2	470.6032511	545.1892184	617.935562	549.9310801	594.3824701	807.7936428	572.3393572	595.3680792	596.7552851
Rfwd3	384.0625764	470.5547889	456.5887438	369.5097127	326.9859249	280.0824008	325.3037991	329.85462	359.8135869
Rfx1	170.234902	200.8609472	219.8293387	171.9765359	156.8251404	292.7520492	220.1882797	134.5647618	179.8191031
Rfx2	248.2666706	191.3223452	364.7395504	1686.992426	778.4893268	1039.959519	929.4693115	1116.605011	1290.035566
Rfx3	8220.086089	10541.91604	9587.408179	4235.460402	4836.855353	7573.161843	6702.476888	4523.654493	5118.060433
Rfx4	0	0	1.54150041	8.260068936	1.838603713	0	3.317163853	0	3.187371683
Rfx5	167.0040609	207.92432	274.9603978	194.484102	175.0461341	222.1641424	230.7586737	170.6701779	237.7197955
Rfx6	0	0	0	0	0	10.34223029	0	0	1.736875818
Rfx7	1204.315019	1275.462372	1409.706364	783.641413	765.6814601	961.0023655	1139.180825	824.8531808	995.9942861
Rfx8	0	0	0	1.542980877	0.858627934	0	0.77455776	0.775420146	0.744251288
Rfxank	5674.666756	5452.686838	5663.06144	6274.788901	6411.088573	6677.012823	8055.4007	10080.4619	6549.411334
Rfxap	150.7169311	216.3659269	241.7360694	271.1992291	291.5045807	303.3688994	227.1367343	241.7359753	218.9379367
Rgag1	0	0	0	0	0.829191631	0	0	0	0.359368077
Rgag4	19.65819892	33.80175382	30.92328144	38.48543528	40.84927353	30.70424258	11.44842878	7.163234609	33.00144279
Rgcc	1530.809652	2653.184601	1754.807638	989.2634508	1467.370714	2340.917433	2030.459947	960.3671836	1094.391391
Rgl1	1.368664802	29.90180723	1.852021331	156.7989314	63.61843195	60.65437359	28.29616719	91.7656978	71.22754801
Rgl2	132.5476211	102.4941135	158.667581	141.7023255	92.28790038	120.5889981	118.5547591	117.6317637	103.7901456
Rgl3	0	0	0	1.21018108	2.020301021	0	0	5.473553975	1.167453001
Rgma	0	4.00144336	0	12.4780941	10.05643425	4.9432746	10.79974567	4.757178813	6.226307484
Rgmb	10.10254478	29.97359187	11.48309497	12.30634198	2.608820156	1.34649318	10.00188524	3.534007504	27.13563374
Rgn	0	0	0	0	0	0	0	0	0
Rgp1	129.4188841	80.45124177	129.0583653	94.39845517	85.16043926	74.91807283	87.3819422	99.90075506	98.67544343
Rgr	0	0	0	0	1.03511505	0	0.933764629	0	0
Rgs1	57240.0009	44723.0367	42125.46952	98202.03182	126206.6858	165319.7098	93999.8638	85913.05409	71527.58506
Rgs10	6127.120096	5360.852112	4111.95851	1835.706392	2690.694623	2763.321009	4746.489951	1710.355294	2677.603491
Rgs11	123.9830528	72.9619113	126.3200416	65.38054565	54.7878243	38.88183647	68.72945225	25.51232785	29.68100849
Rgs12	2.306025177	20.52547916	11.23350884	42.80484445	43.17331614	24.58823784	18.1300906	32.26715824	32.90577866
Rgs13	0	0.958528783	0	2.061430698	1.147131508	10.65726416	4.139253224	0	0
Rgs14	226.3709713	137.0358478	185.7756623	52.39323862	61.22644011	75.99256598	59.17673885	67.14164256	105.5093082
Rgs16	1462.145633	2979.835284	1219.635125	75.3318287	66.92517515	58.4559687	169.8387893	118.2225148	181.0427116
Rgs17	0	0	0	506.9794311	515.1767604	861.0054463	177.0417736	66.46458398	212.6432251
Rgs18	0	0	0	7.47005266	0	0	2.49991746	2.502700849	0.800700686
Rgs19	30685.97986	15724.92162	21551.89204	5535.642735	7046.060159	7821.626189	10268.87916	9560.850465	9636.903275
Rgs2	8180.229441	12877.06203	9185.47666	9748.111159	13632.46624	16537.15199	16069.30631	12296.42662	11962.93047
Rgs20	5.518672286	69.95967497	8.961170434	43.21626938	17.81385755	159.9805702	40.17415766	30.56635432	58.67541274
Rgs21	0	0	0	0	0	0	0	0	0
Rgs22	0	0	0	0.384975269	4.284570529	0	0	0	0
Rgs3	1041.920646	985.0115893	842.6594947	110.313083	108.2063679	145.5287463	183.0218275	272.4893577	216.8948013
Rgs4	0	2.927407526	0	230.3191449	37.9536319	98.84935619	23.70288962	53.78636854	42.51418442
Rgs5	0.735212836	0	0	1038.889281	202.1976229	364.5267424	110.4676075	456.9363605	206.5307609
Rgs6	0	0	0	33.78790242	20.89119061	21.56518579	22.6148251	18.86667023	32.59494692
Rgs7	0	0	0	39.56361224	110.0805044	68.1791643	119.1627322	19.88256786	0
Rgs7bp	0	0	1.976336833	15.88518405	3.535873441	10.03735809	4.78450229	6.91864235	7.917566893
