	IL17pos_SC_EAE_1	IL17pos_SC_EAE_2	IL17neg_SC_EAE	IL17pos_SI_EAE	IL17pos_SI_SS	IL17pos_SI_mock	IL17neg_SI_EAE	IL17neg_SI_mock	IL17neg_SI_SS
Creg1	9.115811873	8.948236977	8.575532259	9.519960512	9.257569846	9.399022028	9.580559865	9.152867636	9.551517272
Creg2	5.425365606	6.61763923	5.33413849	6.446439278	5.52374178	5.447883911	5.353384952	5.757364973	5.281786841
Creld1	6.225916481	6.730933605	6.217370137	6.7608869	7.214800452	7.236364001	6.709867591	7.199344404	7.048415706
Creld2	9.138038335	9.493121889	8.803828693	8.774771366	10.0716305	9.969770591	9.060821554	9.235923798	9.441318048
Crem	13.64977734	14.23697655	13.97510482	15.38460161	15.45801967	15.87281729	15.23020047	15.38485741	15.72622725
Crh	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
Crhbp	4.811952535	5.073672081	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	5.084008515
Crhr1	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	5.216092193	4.811952535	4.811952535	4.811952535
Crhr2	4.811952535	4.811952535	4.811952535	5.313951068	5.4152391	5.098188012	4.811952535	4.811952535	4.811952535
Crim1	6.851799463	5.705470034	8.196972039	7.875872875	8.085144334	6.982823714	9.087677517	9.169867625	9.31970307
Crip1	12.49144574	12.08544549	11.38230169	10.94931944	9.886377067	10.66165237	10.50446306	9.471457857	10.03513849
Crip2	5.167877154	5.44872976	5.982592331	6.403382404	6.661225076	6.055299849	6.584871317	6.486884052	6.152480079
Crip3	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	5.098188012	4.811952535	4.811952535	4.811952535
Cript	11.63475849	11.7259634	11.66779716	12.00964752	11.93935319	12.18604113	11.97937185	11.95510899	12.09106699
Crisp1	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
Crisp2	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
Crisp3	4.811952535	4.811952535	4.811952535	4.811952535	5.083320301	5.216092193	4.811952535	4.811952535	4.811952535
Crisp4	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535	4.811952535
