	Dmrta1	E2f7	Ebf1	Egr2	Egr3	Elk3	Foxk1	Ikzf1	Klf8	Maz	Mlx	Mzf1	Nfyb	Nr3c1	Pparg	Runx2	Tfap4	Tfeb	Zbtb14	Zbtb7b	Zfp143
Nat9	0	0	0	-1.5	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5
Nav2	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nbeal2	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	1.5
Nck2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5
Nedd4	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nedd4l	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
Nenf	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nfe2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.5	0	0	0	-1.5	0
Nfkb2	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0
Nfkbid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0
Nfkbil1	0	0	0	0	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0
Nhej1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
Nphp3	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	-0.5	0
Nqo2	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0.5
Nr1d1	0	0	0	-1.5	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	-1.5	0
Nr3c2	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
Nr4a1	0	0	0	1.5	1.5	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	1.5	0
Nrbp2	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0
Nt5c2	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nt5m	0	0	0	1.5	0	1.5	0	0	0	0	0	1.5	0	0	0	0	0	0	0	1.5	1.5
Obfc1	0	0	0	-1.5	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ogfrl1	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
Olfml1	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	-0.5	-0.5
Osbpl9	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2ry1	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pacs2	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Pam	0	0	0	0	0	0	0	0	1.5	-0.5	0	0	0	1.5	0	0	0	0	0	-0.5	-0.5
Paox	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0
Pcgf2	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0
Pde10a	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0
Pdpr	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	-1.5	-1.5	0
Pfn1	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5	1.5	1.5
Pgam1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5
Phf23	0	0.5	0	0	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	1.5
Pif1	0	0	0	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	1.5	0	0	1.5	1.5
Pigw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0
Plagl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
Plat	0	0	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0
Plekha1	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5
Pls1	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	-0.5
Pnkd	0	0	0	0	0	1.5	0	1.5	0	0	0	1.5	0	0	0	0	1.5	0	0	0	1.5
Poglut1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0
Pold1	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pold4	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	1.5
Polr2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
Popdc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Pou2af1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
Ppap2a	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0
Ppfibp2	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	-1.5	-0.5
Ppm1f	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
Ppp1r14b	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r1b	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	-1.5
Ppp1r9b	0	0	0	1.5	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0
Pqlc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Pros1	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Prps1l1	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0
Prr5l	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	-1.5	0	0	0	0	0
Prr7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
Prss53	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	0
Psmc3ip	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0
Psme2	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Ptger4	0	0	0	-0.5	-1.5	0	0	0	0	-1.5	0	0	0	0	0	-1.5	0	0	0	0	0
Ptk7	0	0	0	0	0	0	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	0	-1.5
Ptpn12	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5
Ptpn23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	-1.5	-1.5
Ptpn6	0	0	0	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	1.5	0	0	1.5	1.5
Ptpn7	0	0	0	1.5	1.5	1.5	0	0	0	1.5	0	0	0	0	0	0	1.5	0	0	1.5	0
Pycrl	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0
Rab8b	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	-1.5
Racgap1	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0
Rap1gap2	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Rapgef3	0	0	0	0	0	0	0	0	0.5	-1.5	0	0	0	0	0	0	0	0	0	-1.5	0
Rara	0	0	0	1.5	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	1.5	0
Rarg	0	0	0	1.5	1.5	0	0	1.5	0	1.5	1.5	1.5	0	0	0	0	0	1.5	1.5	1.5	1.5
Rasa3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0
Rbl1	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm4b	0	0	0	-1.5	-1.5	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	-1.5
Rcan3	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
Rgmb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Rgs10	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0
Rhbdf1	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhoq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Rln3	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf128	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnf43	0	0	0	0	0	-1.5	0	0	0.5	-1.5	0	0	0	0	0	-1.5	0	0	-1.5	-1.5	-1.5
Rnu11	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Rom1	0	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	1.5	0	0	0	0	1.5	0
Rpl27	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1.5	0	0	0	0	0	0
Rpl3l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
Rps6ka1	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0
Rras2	0	0	0.5	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Rrm2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Rsad1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0
S100a10	0	0.5	0	0	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
S100a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5
S100a6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5
Sash3	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	0	0
Sbk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0
Scd1	0	0	0	-1.5	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0
Scmh1	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5
Sec14l1	0	0	0	-1.5	-1.5	0	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	-1.5	0
Sema4c	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
Sept4	0	0	0	0	0	-1.5	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	-1.5
Sh2d3c	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0
Sh3bp5l	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sipa1l1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
Slain1	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0	0	-0.5
Slc12a4	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Slc16a6	0	0	0	0	0	0	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	-1.5	-1.5	-1.5
Slc37a2	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a10	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
Slc39a11	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a14	0	0	0	1.5	1.5	0	0	0	-0.5	0	0	0	0	0	1.5	0	1.5	0	0	1.5	0
Slc44a2	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
Slfn2	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Slx1b	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	1.5	0
Smc2	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
Spc24	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0
Srl	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ssbp4	0	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	0	1.5	1.5
St3gal4	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5	0	0	0	0
St3gal6	0	0	0	0	0	0	0	0	1.5	-0.5	0	-0.5	0	1.5	0	0	0	0	0	0	0
St6galnac6	0	0	0	0	0	0	0	0	0	1.5	0	0	1.5	0	0	0	1.5	0	1.5	0	0
St8sia6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0
Stk32c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Susd1	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synpo2l	0	0	0	0	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
Syvn1	0	0	0	-1.5	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
Taf12	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Taf1b	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
Tagln	0	0	0	0	0	-1.5	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0
Tagln2	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0
Tbc1d30	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
Tenc1	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
Tex2	0	0	0	-1.5	0	0	0	0	0	-1.5	0	0	0	0	0	-1.5	0	0	0	-1.5	-1.5
Tgfb1i1	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0
Ticam2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
Tifa	0	0	0	-0.5	-0.5	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
Tigd5	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	-1.5	0
Tjap1	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0
Tle1	0	0	0	-1.5	-1.5	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0
Tmc6	0	0	0	1.5	1.5	0	0	0	0	0	1.5	0	0	0	1.5	0	0	1.5	0	0	0
Tmc8	0	0	0	1.5	1.5	0	0	0	0	0	1.5	0	0	0	1.5	0	0	1.5	0	0	0
Tmcc3	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Tmem143	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Tmem218	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tox	0	0	1.5	0	0	-0.5	0	0	0	0	0	0	0	1.5	0	-0.5	0	0	0	-0.5	-0.5
Trib1	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
Trib2	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
Trio	1.0	0	0	0	0	0	0	0	1.5	-0.5	0	-0.5	0	1.5	0	0	0	0	-0.5	-0.5	-0.5
Trp53i11	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1.5	0	0	1.5	0
Trpv2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	1.5
Tsnax	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tspan18	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	-1.5	-1.5
Tspan2	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Ttc13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
Ttc28	0	0	1.5	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0
Ttc39b	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttll10	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0
Tubg1	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Twf2	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0
Txnrd3	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Ubash3b	0	0	0	1.5	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0
Ubtd2	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	-1.5
Uggt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
Uhrf2	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0
Unc13d	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
Uqcr11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Usp36	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	-1.5
Utp14b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Wars	0	0	0	1.5	0	1.5	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0
Wbscr16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0
Wdr46	0	0	0	0	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0
Wdr78	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
Wdr90	0	0	0	-1.5	-1.5	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
Wdr95	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1.5	0	0	0	0	0	1.5
Whrn	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	-0.5	0
Wls	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
Wscd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0
Xpo1	0	0	0	1.5	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	1.5
Ywhag	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0
Zbtb10	0	0	0	0	0	0	0	0	1.5	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5
Zbtb20	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0
Zbtb22	0	0	0	0	0	1.5	0	0	0	0.5	0	0	1.5	0	0	0	0	0	0	0.5	0
Zbtb32	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	1.5	1.5
Zbtb49	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0
Zbtb7b	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	1.5	0
Zbtb8os	0	0	0	1.5	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	1.5	1.5	0	0
Zc3h12c	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	1.5	0
Zcchc18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
Zdhhc14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
Zfp385c	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp516	0	0	0	-0.5	-0.5	0	0	0	1.5	0	0	0	0	1.5	0	0	0	0	-0.5	-0.5	-0.5
Zfp64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	1.5
Zfp647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5
Zfp672	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zscan10	0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0
