	E2f1	E2f4	Elf1	Elf2	Elk1	Ets1	Etv6	Fos	Gabpa	Hsf1	Irf1	Klf7	Nfe2l2	Nfya	Nfyb	Nrf1	Pbx3	Sp1	Sp2	Sp4	Stat1	Stat3	Taf1	Tbp	Thap1	Ybx1	Yy1	Zfp105	Zfp143
Ccl4	0	0	0	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	-0.25	0	0
Cd24a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Cdc45	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0	0	-0.25	-0.25	0	-0.25	0	-0.25
Cdk1	0	-0.25	0	0	0	0	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	0	-0.25	0	0	0
Cdon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Cenpo	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	0	-0.25	0	-0.25	0	-0.25
Cep152	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	-0.25	0	0	0
Chmp6	-0.33	-0.25	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0
Chordc1	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	-0.25	0	0	-0.25	0	0	-0.25	0	0	-0.25	0	0	0	0	-0.25	0	-0.25
Ciita	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	0	0	0	0
Coasy	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.58	0	0
Cpeb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0.25	0
Csrp2bp	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	0	0
Ctnnal1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Cwf19l1	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	-0.25
Cyth1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Cytip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Dctn5	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	0	0
Ddit3	-0.33	0	-0.33	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.33	-0.25	0	0	-0.58	0	-0.25
Ddx58	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0
Dedd2	-0.33	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	0
Dennd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Dennd4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Dennd5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Det1	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0
Dis3l	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.58	0	0
Dnajb1	0	-0.25	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0
Dok2	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	0	-0.25
Dse	0	0	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25
Ecm1	0	-0.25	0	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25
Egr1	-0.33	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	0
Eif4e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Esco2	0	-0.25	0	0	-0.25	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	0	0
Fam107b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Fam129b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Fbxo11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Fbxo18	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0
Fbxo5	0	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0
Fbxw17	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	-0.25	0	0	0
Fkbp4	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25
Fkbp5	0	-0.25	0	0	0	-0.25	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25
Flt3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Foxm1	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0
Fyn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Galnt9	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	0
Gan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
