	E2f1	E2f4	Elf1	Elf2	Elk1	Ets1	Etv6	Fos	Gabpa	Hsf1	Irf1	Klf7	Nfe2l2	Nfya	Nfyb	Nrf1	Pbx3	Sp1	Sp2	Sp4	Stat1	Stat3	Taf1	Tbp	Thap1	Ybx1	Yy1	Zfp105	Zfp143
Phlpp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0.25	0
Pkib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Plau	-0.33	0	0	0	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	0	0	0	0	0
Plcb3	0	-0.25	-0.33	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.33	-0.25	-0.25	0	-0.58	0	-0.25
Plekha8	0	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	0
Plxnc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0.25	0
Pold1	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	0
Polh	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0
Ppil1	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	-0.25	0	0	-0.25	0	0
Prr5l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Ptpn6	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.33	-0.25	-0.25	-0.25	-0.58	0	-0.25
Pvrl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Rab11fip1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Rasgrp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Rbbp5	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0
Rbm43	0	-0.25	-0.33	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0
Rcc1	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	0
Rcsd1	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	-0.25
Relt	0	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0
Rgl2	-0.33	-0.25	-0.33	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.33	0	-0.25	-0.25	-0.25	0	-0.25
Rnf135	0	0	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25
Rnf157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Rnf166	-0.33	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	0
Rnf169	-0.33	-0.25	0	0	-0.25	-0.25	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	0
Rnf217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0.25	0
Rpp38	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Rsad2	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	0	-0.25	0	0	0	0	0
Rundc1	-0.33	0	-0.33	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	0
Ryr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0.25	0
Satb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Sdr42e1	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0
Setbp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Sfmbt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Sh3gl1	-0.33	-0.25	-0.33	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.58	0	-0.25
Siglecg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Slc16a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Slc25a45	0	0	0	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	0
Slc29a1	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	-0.25
Slc5a6	0	-0.25	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25
Smyd5	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25
Spag7	-0.33	-0.25	-0.33	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.33	-0.25	-0.25	0	-0.58	0	-0.25
Sphk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Srek1ip1	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25	0	0
Srgn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Sspo	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0
Stard8	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0
Strbp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Taf6	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25
Tbc1d4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Tex14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Tex2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Thap11	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	0	-0.25
Tifab	0	0	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0
Tmem51	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0
Tnf	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0
Tnfaip8l2	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0
Tnip3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Trim14	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0
Trim21	0	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0
Trim34a	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0
Trim65	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	0	0	0	-0.25	0	0	-0.25	0	-0.25
Trmt12	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0
Trnau1ap	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	-0.25
Tstd2	0	0	0	0	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	0	-0.25
Ttc5	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uck2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Usf1	0	0	-0.33	-0.25	0	0	-0.25	0	-0.25	0	-0.25	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	0	-0.25	0	-0.58	0	0
Usp18	0	0	0	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	-0.25
Usp21	0	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0
Vangl2	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	0
Vegfa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Xcr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Zbtb45	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	0
Zc3h12d	0	0	0	0	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0	-0.25	0	0	0	0	-0.25
Zcchc17	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	-0.25
Zeb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Zfp251	0	-0.25	0	0	-0.25	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	0
Zfp276	-0.33	-0.25	-0.33	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.33	-0.25	0	0	-0.58	0	-0.25
Zfp526	-0.33	-0.25	0	0	0	0	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	0	-0.25	0	0	0
Zfp821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0
Zfp839	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25
Zfyve1	0	-0.25	0	0	0	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	0	0	-0.25
