	Atf3	Egr1	Egr3	Fos	Fosb	Hic1	Irf1	Irf2	Irf7	Irf8	Jun	Jund	Klf4	Maz	Myc	Nfya	Stat1	Stat2	Zbtb7b
Dpep2	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0
Dph2	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	-0.5	0	0	0	-0.5
Dph5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0
Dpm3	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
Dpp3	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0
Dpp4	0	0	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0.5	0.5	0
Dpp7	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0
Dpp9	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
Dpy19l1	0.5	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0.5
Dr1	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.5
Drap1	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.5
Drosha	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
Dstn	-0.5	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Dtl	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0
Dtnb	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0.5	0.5	0.5
Dtnbp1	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	-0.5
Dtx2	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0
Dtx3l	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0	0.5	0	0	0.5	0.5	0
Dus1l	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5
Dusp1	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0	0	0.5	0.5	0	0	0.5	0.5	0.5
Dusp10	0.5	0.5	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0.5	0.5	0.5
Dusp19	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
Dusp3	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	0	-0.5	0	-0.5	0	0	0	-0.5
Dusp4	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0
Dusp6	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0.5	0.5	0.5
Dusp8	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0	0	0
Dut	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.5
Dynll1	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0	0	0.5
Dynlt1a	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0
Dyrk1a	-0.5	-0.5	-0.5	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Dyrk4	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0
E2f3	-0.5	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
E2f7	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5
E2f8	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5
E330009j07rik	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Eaf1	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0
Ebag9	0.5	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0.5
Ebf3	-0.5	-0.5	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5
Ebi3	0	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0
Ece1	-0.5	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	0
Ech1	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Echs1	0	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0.5
Ecscr	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Ect2	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0	0	0
Ednrb	0	0	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Eea1	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Eef1b2	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef2k	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0.5
Eefsec	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Efna1	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	-0.5
Efnb2	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0
Egfr	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egr1	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Egr3	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Ehd1	-0.5	-0.5	-0.5	-0.5	0	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Ehd2	0	-0.5	-0.5	0	0	-0.5	-1.5	0	-1.0	0	-0.5	-0.5	0	-0.5	0	0	0	0	-0.5
Ehf	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0
Ehmt2	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5
Eid3	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0
Eif2b2	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0
Eif2s1	0	-0.5	0	-0.5	0	-0.5	0	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	0
Eif3f	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0.5	0
Eif3k	0	0.5	0.5	0	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0.5	0.5
Eif4e	-0.5	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Eif4e3	0.5	0	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0
Eif5a2	-0.5	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	-0.5
Eif6	0	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	0	-0.5	0	0	0	0	0	-0.5
Elf2	-0.5	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Ell2	-0.5	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	-0.5
Elmo2	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.5
Eltd1	0	0	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Emilin1	0.5	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0	0
Emilin2	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Eml5	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0
Emp1	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Emp2	0	-0.5	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0
Emp3	-0.5	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	0
Emr4	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enah	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0
Endod1	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Engase	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0	0
Eno2	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5
Enpp4	0	0.5	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0.5	0	0	0.5	0.5	0
Enpp5	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entpd1	-0.5	-0.5	0	-0.5	-0.5	-0.5	-1.5	0	-1.0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0
Entpd6	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entpd7	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0
Epas1	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5
Epb4.1	-0.5	-0.5	0	0	0	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Epb4.1l1	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	0
Epb4.1l2	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Epb4.1l3	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0
Epb4.1l4a	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Epha2	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Ephx3	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Epor	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0.5
Eps8	-0.5	-0.5	0	-0.5	-0.5	-0.5	0	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	0
Epsti1	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0.5	0.5	0
Erc1	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5
Ercc5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Ercc6	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0
Ercc8	0	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Erg	0	-0.5	-0.5	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0
Ergic1	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	0	0
Erich1	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ern1	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	0	-0.5	0	0	0	0
Erp29	0.5	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0.5
Errfi1	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0
Esco2	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
Esd	0	-0.5	-0.5	0	0	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0
Esf1	0	-0.5	0	0	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0
Espl1	0	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0
Esrp2	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0
Etfb	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0.5
Etnk2	-0.5	-0.5	-0.5	-0.5	0	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	0	-0.5	0	0	0	-0.5
Ets1	-0.5	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Etv3	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Etv5	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5
Exo1	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0
Exoc3	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0
Exoc5	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
Exoc6	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0	0.5	0.5	0.5
Exoc8	-0.5	-0.5	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	-0.5	0	0	0	0
Exosc5	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0
Exosc7	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ext1	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	0	-0.5	0	0	0	0
Extl3	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
Eya3	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5
F13a1	0	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
F2r	0	0	0	-0.5	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0
F5	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0
F7	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	-0.5	0	0	0	0
Fabp2	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Fam102b	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	-0.5
Fam105a	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0.5	0.5	0
Fam114a1	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	0	-0.5	0	0	0	-0.5
Fam117a	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0.5	0.5	0
Fam117b	-0.5	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0
Fam129b	-0.5	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	0	-0.5	0	0	0	-0.5
Fam129c	0	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5
Fam149a	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0.5
Fam167a	0	-0.5	0	-0.5	0	-0.5	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	-0.5
Fam168a	0.5	0.5	0	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0.5	0	0	0.5	0.5	0.5
Fam169a	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Fam173a	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5
Fam174a	0.5	0.5	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0.5	0.5	0.5
Fam179b	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0
Fam198b	0	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	0
Fam19a3	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0
Fam20a	-0.5	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	0
Fam26f	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam46a	0.5	0.5	0.5	0	0	0	0	0.5	0.5	0	0	0	0.5	0.5	0	0	0	0.5	0.5
Fam53a	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0	0	0
Fam53b	0	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0.5	0	0	0	0.5	0.5
Fam53c	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5
Fam63a	-0.5	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0
Fam72a	-0.5	0	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0
Fam76a	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5
Fam78a	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0
Fam83f	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0
Fanca	0	0	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0.5	0.5	0.5	0
Fancc	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
Fancd2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Fancg	0.5	0.5	0	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0.5	0	0.5	0	0	0.5
Farsb	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fas	-0.5	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0
Fat4	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0
Fau	0.5	0.5	0	0.5	0	0	0.5	0	0.5	0	0	0	0	0	0	0.5	0	0	0
Fbn1	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0
Fbxl15	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	-0.5
Fbxl19	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0.5	0	0.5
Fbxl2	-0.5	0	0	0	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0
Fbxl20	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Fbxl22	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0
Fbxl4	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0.5	0.5
Fbxo11	-0.5	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Fbxo18	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0
Fbxo28	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	0
Fbxo32	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5
Fbxo4	0	-0.5	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5
Fbxo45	-0.5	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5
Fbxw17	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0
Fcgr4	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0.5	0.5	0
Fcho1	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0.5
Fchsd2	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Fcna	-0.5	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5
Fcrl1	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0
Fcrls	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0
Fdft1	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5
Fem1b	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0
Fermt3	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0	0	0
Ffar2	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0
Fgd2	0	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0.5	0.5	0
Fgd4	0	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Fgf11	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5
Fgfr1	-0.5	-0.5	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	-0.5	0	0	0	-0.5
Fgl2	0	0	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0	0.5	0	0	0.5	0.5	0
Fh1	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0	0.5	0	0.5	0.5	0.5	0
Fhl3	-0.5	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Filip1	0	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	-0.5
Fis1	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0
Fkbp1a	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	-0.5
Flad1	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5
Flnc	-0.5	-0.5	-0.5	0	0	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0
Flrt2	-0.5	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	-0.5
Flrt3	-0.5	0	0	0	0	-0.5	0	0	0	0	-0.5	-0.5	0	0	-0.5	0	0	0	0
Flt3l	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0.5	0	0	0
Fmr1	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	-0.5
Fn1	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Fnbp1l	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	-0.5	0	0	0	-0.5
Fndc1	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	-0.5	0	0	0	0
Fndc3b	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Fndc4	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Fnip2	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Fos	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0.5	0.5	0.5
Fosb	0.5	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0.5	0.5	0.5	0.5
Fosl1	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	0	-0.5	0	0	0	-0.5
Foxa1	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
Foxm1	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0.5
Foxn2	0	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Foxo1	0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0
Foxo3	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Foxp1	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5
Foxp4	-0.5	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	0	0	-0.5
Foxred1	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0.5	0.5	0
Fpr1	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0
Fpr2	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frat1	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
Frat2	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5
Frmd4b	0.5	0.5	0	0.5	0	0	0.5	0	0.5	0.5	0	0	0.5	0.5	0	0.5	0	0	0.5
Frmd6	-0.5	-0.5	-0.5	-0.5	-0.5	0	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	-0.5
Frs2	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5
