	Atf3	Egr1	Egr3	Fos	Fosb	Hic1	Irf1	Irf2	Irf7	Irf8	Jun	Jund	Klf4	Maz	Myc	Nfya	Stat1	Stat2	Zbtb7b
5430416n02rik	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0.5	0	0	0.5
5430427o19rik	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0	0
5730508b09rik	0.5	0.5	0.5	0	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0	0	0.5	0.5	0.5
5830417i10rik	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
6330403a02rik	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6330416g13rik	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5
6430531b16rik	0	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	0
6430562o15rik	0	-0.5	-0.5	0	0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5	0	0	0	0
6720489n17rik	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
8430419l09rik	0	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0.5	0	0	0	0.5	0.5	0.5
8430427h17rik	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	-0.5
9130019o22rik	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	-0.5	0	0	0	0
9130230l23rik	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	0	0
9330133o14rik	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5
9430015g10rik	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0
9430020k01rik	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0
9530059o14rik	-0.5	-0.5	-0.5	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	0	-0.5
9930111j21rik1	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9930111j21rik2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A530064d06rik	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A530099j19rik	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0
A630033h20rik	0	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0
A830080d01rik	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0
Aa987161	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	-0.5	-0.5	0	0	0	0
Aaas	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
Aagab	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5
Abca1	-0.5	-0.5	0	-0.5	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0
Abca3	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0	0	0	0	0.5	0	0.5	0.5	0.5	0.5
Abca6	0	-0.5	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	0	0
Abcb1b	-0.5	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0
