	Ctcf	E2f4	E2f6	Egr1	Elf1	Elf4	Fos	Ikzf1	Irf1	Irf3	Klf13	Klf4	Klf5	Klf7	Myc	Nfya	Nfyb	Nfyc	Nrf1	Pax5	Pbx3	Plagl1	Pou2f2	Rfx1	Rfx2	Rxra	Sp1	Sp2	Sp3	Sp4	Srf	Tbp	Zbtb7a	Zfp148
Dcun1d4	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.75	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25
Ddb2	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Ddrgk1	0.25	0	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Ddx31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0
Ddx59	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0.25	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0
Dhcr24	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.75	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25
Dhps	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Dlg3	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Dnd1	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Doc2g	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0
Dpp3	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Dsp	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
Dus1l	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
E130309d02rik	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
E2f3	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.75	0	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25
E330020d12rik	0	-0.25	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	0	-0.25	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ebf2	0	0.25	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0
Ebf3	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0
Echs1	0	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Edaradd	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef2k	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Eefsec	0	-0.25	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efr3b	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0.25	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Enpp1	0.25	0.25	0	0.25	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0
Entpd3	0	0.25	0.25	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Epcam	0	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	0	0
Epha2	0.25	0.25	0	0.25	0	0	0.25	0.25	0	0	0	0	0.25	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0	0
Eps8l3	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0
Erc1	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Eri2	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0	0	0
Espl1	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	-0.25	-0.25	0	-0.25	0	-0.75	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0
Esrp1	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	0
Ets1	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Exd1	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	-0.25	0	-0.25
Ext2	0.25	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0
Fabp5	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0	0
Fam136a	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.75	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Fam149a	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Fam19a3	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Fam57a	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.25	-0.75	0	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25
Fam60a	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.75	0	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Fam78b	0	0	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0
Fam86	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0
Fam98a	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	-0.75	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0
Fancd2	0.25	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0
Fbxo8	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.75	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0
Fcer2a	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0.25	0
Fchsd1	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Fcrla	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Fgd1	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0
Fgf18	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0
Fkbp5	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	0	0	-0.25	0	0	0	-0.25	-0.75	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0
Fmnl3	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0
Fndc5	0	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.75	0	0	0	0	0	0	-0.25	0	-0.25	0	0	-0.25	0	0
Foxm1	0.25	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Fpgs	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Fxn	0.25	0.25	0.25	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0.25	0	0
Gabarapl1	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Gar1	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	-0.75	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Gls2	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0.25	0	0.25	0.25	0	0	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0
Gm11545	0	0	0	-0.25	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25
Gm14446	0	0	0	0	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15760	0.25	0	0.25	0.25	0	0	0	0	0.25	0.25	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Gm5129	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0
Gmcl1	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	0	0	0
Gnat1	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Gng4	0.25	0	0	0.25	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0
Golm1	0	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpatch4	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25
Gpr128	0	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.75	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Gpr141	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.75	0	0	0	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0	0	0
Gpr176	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0
Gpr33	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0
Gpr4	0	0.25	0.25	0.25	0	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0	0	0	0.25	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Grap	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grk4	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Grrp1	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Gss	0	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Gstcd	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	-0.75	0	0	-0.25	0	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0
Gstt3	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0.25	0	0	0.25	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Gtf2h3	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guca2a	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gys1	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
H2-ke6	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Hagh	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Havcr1	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hdac10	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0
Hddc2	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0
Hepacam2	0.25	0	0.25	0.25	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0
Hes7	0	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Hic1	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.75	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Hint2	0.25	0	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Hist1h2ak	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.25	0	0
Hmbs	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0.25	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0
Hmmr	0.25	0.25	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0	0.25	0	0.25	0.25	0
Hnrnph3	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.75	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25
Hoxa7	0.25	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0	0.25	0	0	0	0
Hpgd	0	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0	-0.25
Hps1	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Hrc	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0	0.25	0	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Hspb6	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Htr2a	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Hyal2	0.25	0	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0.25	0	0
Ica1	0.25	0	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
Icos	0	0	0	0.25	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ido1	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0
Ifit2	0	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	-0.75	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	0	0
Ifitm1	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ift172	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0
Ighmbp2	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Ikbip	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Ikzf3	0.25	0	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Il15ra	0	0	0	0.25	0	0	0.25	0	0.25	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0
Itga6	0.25	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Itgae	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0
Itgb4	0.25	0.25	0	0.25	0	0	0	0.25	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Jag2	0.25	0.25	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0.25	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Jam3	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0.25	0
Kbtbd8	0	-0.25	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	-0.75	0	0	0	0	-0.25	0	-0.25	0	0	-0.25	0	-0.25	0	0
Kcnh4	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	-0.25	0	0	-0.25	0	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25
Kcnj10	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25
Kcnk6	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	0	0	0	0	-0.75	0	0	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0
Kcnq1	0.25	0	0	0.25	0	0	0.25	0	0.25	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0
Keap1	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0	0
Khk	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0.25	0
Kit	0.25	0.25	0.25	0	0	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0	0	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0
Klhl28	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
Klk8	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0	0
Klrk1	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kremen1	0.25	0	0.25	0.25	0	0	0	0	0.25	0	0	0.25	0.25	0.25	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0
Krt8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0
Large	0.25	0	0	0.25	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0
Lcmt2	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0	0	0
Lekr1	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	-0.25	0	0	0	0	-0.75	0	0	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25
Lgi4	0.25	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0
Lhx6	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpin1	0	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	-0.25	-0.25	-0.25	0	0	0	0	-0.25	-0.75	0	0	0	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0
