	Hsf1	Hsf2	Irf1	Irf2	Irf3	Irf8	Irf9	Nfkb1	Srf	Stat2
Plaur	0	0	-0.25	0	-0.25	0	0	0	0	0
Postn	-0.25	0	0	0	0	0	0	0	-0.25	0
Ptpro	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25
Rcc1	0	0	-0.25	0	0	0	0	0	0	0
Rnf144b	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25
Rsad2	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
S100a4	0	0	0	0	0	0	-0.25	0	0	0
Serpinb2	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	0
Sh2d1b1	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Sh2d3c	0	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25
Siglece	0	0	-0.25	0	0	0	-0.25	0	-0.25	0
Slc28a2	0	0	-0.25	0	0	0	0	0	-0.25	0
Slfn8	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Smad3	0	0	0	0	0	0	0	0.33	0	0
Socs3	0	0	0	0	0	0	0	0.33	0	0
Sorl1	-0.25	-0.25	0	0	0	0	0	0	0	0
Sparc	0	0	-0.25	-0.25	0	0	-0.25	0	0	0
Spns3	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25
Stag3	0	0	-0.25	0	-0.25	0	0	0	0	0
Suv420h2	0	0	-0.25	0	-0.25	0	0	0	0	0
Tagap	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Tlr2	-0.25	0	-0.25	0	0	0	0	0	0	0
Tnf	0	0	-0.25	0	-0.25	0	0	0	-0.25	-0.25
Tppp	0	0	-0.25	-0.25	0	-0.25	0	0	-0.25	0
Trim14	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25
Vcan	0	0	-0.25	0	0	0	0	0	0	0
Zeb2	0	0	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	-0.25
Zfp719	0	0	0	0	0	0	0	0	-0.25	0
Zfp961	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	-0.25
