	Ar	Ets2	Etv3	Gata3	Gtf3a	Hes1	Hey1	Irf4	Klf4	Klf5	Klf7	Klf8	Klf9	Maff	Maz	Mecom	Mxd1	Mxd4	Mynn	Nfe2	Nfkbiz	Nr3c1	Nr3c2	Nr4a1	Pou2f2	Pou5f2	Prdm16	Prdm9	Rxrg	Sp6	Stat1	Trps1	Zbtb21	Zbtb38	Zfp1	Zfp131	Zfp148	Zfp182	Zfp317	Zfp41	Zfp438	Zfp462	Zfp827	Zfp92
D8ertd82e	0	1.0	1.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D930015e06rik	0	0	0	-1.0	0	0	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0
Daam1	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	-1.0	-2.0	0	-1.0	-1.0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Dagla	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dapk2	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-3.0	-1.0	0	0	0	-1.0	-1.0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Dapp1	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dars	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dars2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dbn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf17	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dctd	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Dctn6	0	1.0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	3.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcun1d4	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddit4	1.0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Ddx26b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0
Ddx60	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Decr1	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dedd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dennd4a	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	-1.0	-2.0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0
Dennd4c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deptor	1.0	1.0	1.0	2.0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	1.0	0	1.0	1.0	0	1.0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Dgat1	0	0	0	-4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dgat2	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Dgcr6	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dgkh	0	0	0	0	0	0	0	0	-3.0	-3.0	-3.0	-3.0	-3.0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhcr7	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Dhps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs3	0	-1.0	-1.0	-2.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-3.0	-1.0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Dhx37	0	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-3.0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diap1	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diap2	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-2.0	0	0	0	-1.0	-2.0	-1.0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Diap3	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dio2	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dip2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dip2c	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dkk3	0	1.0	1.0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Dlc1	0	0	0	-3.0	0	0	0	-1.0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dleu2	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlg3	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlg4	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Dnajb5	0	0	0	0	0	0	0	-1.0	-2.0	-2.0	-2.0	-2.0	-2.0	0	-1.0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-3.0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Dnajc15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnal1	0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnmbp	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnmt3a	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	1.0	0	1.0	1.0	0	1.0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Dock1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dock9	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dopey2	0	-1.0	-1.0	-3.0	0	0	0	-1.0	-4.0	-4.0	-4.0	-4.0	-4.0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	-6.0	-1.0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Dpp4	1.0	1.0	1.0	4.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	1.0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dpy19l3	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Dpysl5	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-3.0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Dram1	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dram2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drosha	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dscam	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-1.0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dthd1	0	0	0	-4.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dtnb	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dtnbp1	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dtx1	0	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Dtx3l	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dtx4	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp23	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp5	0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Dusp6	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-1.0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Dusp8	0	0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyrk2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-3.0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Dyrk3	0	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	3.0	1.0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Dzip1	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dzip3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E030024n20rik	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ebag9	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ece1	0	0	0	-1.0	0	0	0	-1.0	-2.0	-2.0	-2.0	-2.0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Echdc3	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef2k	0	0	0	-2.0	0	0	0	0	-2.0	-2.0	-2.0	-2.0	-2.0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	-2.0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0
Eepd1	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efna5	1.0	1.0	1.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egln1	0	1.0	1.0	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Ehd3	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eid2b	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eid3	0	0	0	-3.0	0	0	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-2.0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0
Eif2d	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif4ebp1	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Elf1	0	1.0	1.0	3.0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ell	0	0	0	0	0	0	0	-1.0	-3.0	-3.0	-3.0	-3.0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elmo1	0	0	0	-4.0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	-3.0	-1.0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elovl7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emd	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emilin1	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emilin2	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emp3	0	1.0	1.0	2.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Eno4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enpp1	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entpd1	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	-1.0	0	-1.0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Entpd3	0	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Epas1	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	1.0	1.0	0	1.0	1.0	0	1.0	1.0	1.0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Epb4.1	0	-1.0	-1.0	-3.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-3.0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epb4.1l1	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Epb4.1l4a	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	3.0	1.0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Epb4.1l4b	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epha1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epha4	0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ephb6	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eps8l3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erc1	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ercc5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erlin1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ern1	0	-1.0	-1.0	-1.0	0	0	0	-1.0	-3.0	-3.0	-3.0	-3.0	-3.0	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0	-6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ero1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Espn	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	3.0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Esrp1	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esrra	0	0	0	0	0	0	0	-1.0	-3.0	-3.0	-3.0	-3.0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etfb	0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Etnk2	0	-1.0	-1.0	0	0	0	0	0	-1.0	-1.0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-3.0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Etohi1	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ets1	0	-1.0	-1.0	-5.0	0	0	0	-1.0	0	0	0	0	0	0	0	-2.0	0	0	0	0	-1.0	0	0	0	-3.0	-1.0	-2.0	0	-1.0	-1.0	-1.0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
Ets2	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Etv3	1.0	1.0	1.0	4.0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etv6	1.0	1.0	1.0	6.0	1.0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	1.0	1.0	0	1.0	1.0	0	3.0	1.0	1.0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Evi2a	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Evi5	1.0	1.0	1.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exoc4	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	1.0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
