	Ar	Ets2	Etv3	Gata3	Gtf3a	Hes1	Hey1	Irf4	Klf4	Klf5	Klf7	Klf8	Klf9	Maff	Maz	Mecom	Mxd1	Mxd4	Mynn	Nfe2	Nfkbiz	Nr3c1	Nr3c2	Nr4a1	Pou2f2	Pou5f2	Prdm16	Prdm9	Rxrg	Sp6	Stat1	Trps1	Zbtb21	Zbtb38	Zfp1	Zfp131	Zfp148	Zfp182	Zfp317	Zfp41	Zfp438	Zfp462	Zfp827	Zfp92
4931406c07rik	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931406p16rik	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
4931440p22rik	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4932438h23rik	0	1.0	1.0	3.0	1.0	1.0	1.0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
4933426m11rik	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5830416p10rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-1.0	0	0	0	-2.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6330403a02rik	0	0	0	0	0	0	0	-1.0	-3.0	-3.0	-3.0	-3.0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8430419l09rik	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9030617o03rik	1.0	1.0	1.0	2.0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	1.0	0	1.0	1.0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
9130019p16rik	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
9130401m01rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9430020k01rik	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
9930021j03rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4galt	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A630089n07rik	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
A830080d01rik	0	0	0	-2.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A930011g23rik	0	1.0	1.0	2.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
Abca1	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.0	-1.0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb9	0	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	1.0	1.0	1.0	0	0	0	0	3.0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
