	Bach2	Bcl11b	Bcl6	Cebpg	Dmrta1	Egr2	Elf4	Eomes	Esr1	Esrra	Ets2	Foxc1	Foxj1	Foxm1	Foxo1	Glis3	Gtf3a	Irf4	Irf5	Irf7	Irf8	Jdp2	Klf12	Klf2	Klf5	Klf8	Lef1	Max	Mef2c	Mef2d	Meis3	Nr4a2	Pparg	Prdm1	Relb	Sox8	Stat3	Stat4	Stat5a	Stat5b	Tada2b	Tbx21	Tcf7	Trp53	Zbtb16	Zfhx3	Zfp287	Zfp553	Zfp57	Zfp606	Zfp646	Zfp768	Zfp827
Unc5c	0	0	0	0	-0.5	0	0	0	-1.0	-1.0	0	-2.0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-1.0	-1.0	-1.0	-0.5	-1.0	-1.0	-1.0	-1.0
Unkl	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Upb1	2.0	0.5	0	0	0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	0	0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	0	0	0	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	0	0	2.0	2.0	2.0	2.0	0	1.0	0.5	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Urb2	0	0	0	0	0	0	1.0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp12	0	0	0	0	0	1.0	0	3.0	0	0	0	0	0	0	0	0	0	2.5	2.5	5.0	5.0	1.0	0	0	0	0	0	1.0	0	0	0	0	0.5	1.0	0	0	1.0	1.0	1.0	1.0	0	3.0	0	0	0	0	0	0	0	0	0	0	0
Usp18	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	3.0	3.0	6.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	2.0	2.0	2.0	2.0	0	0	0	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Usp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	-1.0	-1.0	-0.5	-1.0	-1.0	-1.0	-1.0
Usp5	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	-1.0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ust	1.0	0	0	0	0	2.0	1.0	1.0	0	0	2.0	0	0	0	0	0	1.0	1.0	1.0	2.0	2.0	0	2.0	2.0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	2.0	2.0	2.0	2.0	1.0	1.0	0	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Utp14b	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utp23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vamp1	0	0	0	0	0	1.0	1.0	1.0	0	0	1.5	0	0	0	1.0	0	1.0	1.5	1.5	3.0	3.0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	1.0	1.0	0	1.0	0.5	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Vasp	2.0	0.5	0	0	0	1.0	2.0	0	1.0	1.0	2.5	0	0	0	1.0	0	2.0	1.0	1.0	2.0	2.0	0	1.0	1.0	0.5	1.0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	2.0	2.0	1.0	2.0	2.0	2.0	2.0
Vegfa	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
Vegfb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0
Vegfc	0	0	0	0	0	0	2.0	0	0	0	2.5	0	0	0	1.0	0	0	3.0	3.0	6.0	6.0	0	0	0	0	0	1.0	1.0	0.5	1.0	0	0	0	1.0	0	0	2.0	2.0	2.0	2.0	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0
Vgll4	1.0	0.5	0	0	0	2.0	3.0	0	1.0	1.0	2.0	0	0	0	1.0	0	1.0	0.5	0.5	1.0	1.0	1.0	0	0	0	0	1.0	0	0	0	0	2.0	0	1.0	0	0	1.0	1.0	1.0	1.0	0	0	0.5	0	0.5	0	1.0	1.0	0.5	1.0	1.0	1.0	1.0
