	Ar	Ascl4	Batf3	Bmyc	E2f2	E2f7	E2f8	Egr2	Egr3	Elk3	Erg	Gtf3a	Hey1	Hlf	Hsf4	Irf4	Irf8	Klf10	Klf12	Lef1	Maz	Mlx	Mycn	Mzf1	Nfic	Nfil3	Nfkbia	Nfkbid	Nfkbil1	Nfyb	Nr1d1	Nr1i2	Nr4a1	Pbx2	Pparg	Rara	Rarg	Rbpj	Rorc	Runx2	Snai3	Sox9	Tbx21	Tfap4	Tfeb	Thap3	Thap4	Thra	Vdr	Zbtb14	Zbtb16	Zbtb32	Zbtb37	Zbtb7b	Zfp1	Zfp143	Zfp287	Zfp296	Zfp3	Zfp41	Zfp426	Zfp462	Zfp64	Zfp691	Zfp768	Zfp775	Zfp92	Zscan10
Kmo	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	1.5	0	1.5	0
Kntc1	0	0	0	0	1.5	1.5	1.5	0	0	0	0	0.5	0	0	0	0	3.0	9.0	0	0	0	0	0	0.5	0	0	0	0	0	4.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0	0.5	0	0.5
Kremen2	0	0	0	3.0	3.0	3.0	3.0	1.5	1.5	0	0	3.0	0	0	0	0	3.0	0	0	0	1.5	0	0	3.0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	3.0	0	0	0	0	3.0	3.0	3.0	1.5	3.0	3.0	3.0	0	3.0	0	0	3.0	0	3.0
Krtcap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lag3	0	0	0	0	0	0	0	4.5	4.5	0	0	1.5	0	0	0	0	3.0	1.5	0	1.5	1.5	0	0	1.5	0	0	1.5	1.5	1.5	0	0	0	0	0	1.5	0	0	0	0	4.5	0	0	0	0	0	1.5	1.5	0	0	1.5	0	0	0	1.5	1.5	0	1.5	0	1.5	1.5	1.5	0	1.5	0	0	1.5	0	1.5
Lama3	0	0	0	0	0	0	0	-1.5	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.0	-3.0	0	0	0	-3.0	0	-4.5	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamb2	0	0	0	0	-6.5	-6.5	-6.5	-1.5	-1.5	-6.0	0	-6.0	0	0	0	0	0	-1.5	0	-1.5	-1.5	0	0	-6.0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.0	0	0	0	-3.0	-6.0	0	-6.0	0	-6.0	-6.0	-6.0	0	-6.0	0	0	-6.0	0	-6.0
Lamc1	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0
Lancl3	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	4.5	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1.5	0	1.5	0	1.5	1.5	1.5	0	1.5	0	0	1.5	0	1.5
Lax1	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1.5	0	1.5	0	1.5	1.5	1.5	0	1.5	0	0	1.5	0	1.5
