	Bach1	E2f3	Ets1	Fosl1	Hey1	Klf8	Prdm1	Stat3	Zbtb7a	Zfp263	Zfp523
Bola1	0	-0.5	-0.5	0	0	-0.5	0	-0.5	0	0	0
Bphl	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Braf	0	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Brca1	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0
Bri3bp	0	-0.5	0	0	0	-0.5	0	-0.5	0	-0.5	0
Brix1	0	0	0	0	0.5	0.5	0	0	0.5	0.5	0
Bscl2	0	0	0	0	0	-0.5	0	0	-0.5	-0.5	0
Bst2	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	-0.5
Btbd10	0	0	0	0	0	0.5	0	0.5	0	0.5	0
Btbd7	0	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0
Btg2	0	-0.5	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Btrc	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Bub1b	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	-0.5
Bzrap1	0	0	0	0	0	0	0	0.5	0	0.5	0
C1qtnf3	0	0	0	0	0	0.5	0	0.5	0.5	0.5	0
C2cd2	0	0	0	0	0.5	0	0	0	0.5	0	0
C2cd3	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	-0.5
C77080	0	0	0	0	0	0.5	0	0	0	0.5	0
Cab39	0.5	0	0	0.5	0.5	0	0	0	0	0.5	0
Cacna1s	0	0	-0.5	0	0	0	0	0	0	0	0
Cacna2d1	0.5	0	0	0	0	0	0	0	0	0	0
Cacybp	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Cadm1	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
Cald1	0	0	0	0	0.5	0.5	0	0	0	0	0
Calhm2	0	0	-0.5	0	0	0	0	0	0	0	0
Calm2	0	0	0	0	0.5	0	0.5	0.5	0.5	0.5	0
Camkk1	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0
Camkk2	0	0	0	0	0.5	0.5	0	0	0	0.5	0
Cand2	0	0	0	0	0.5	0	0	0	0	0.5	0
Cant1	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Capg	0	0	0	0.5	0	0	0.5	0.5	0	1.5	0
Capn2	0.5	0	0	1.5	1.5	0	0.5	0.5	0	1.5	0
Capn7	0	0	0	0	0	0.5	0	0.5	0.5	0	0
Capsl	0	0	0	0	0	0	0.5	0.5	0	0	0
Car13	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0
Card11	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Card6	0	0	-0.5	0	0	0	0	-0.5	-0.5	0	0
Card9	0	0	0	0	0	0	0	-0.5	0	-0.5	0
Cars	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0
Cars2	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Casc1	0	0	0	0.5	0	0.5	0.5	0	0	0.5	0
Casc5	0	-0.5	-0.5	0	0	-0.5	0	0	-0.5	-0.5	0
Casp2	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	0
Casp3	0	-0.5	-0.5	0	0	-0.5	0	0	-0.5	-0.5	0
Casp7	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0
Casp9	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Casr	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0
Casz1	0	0.5	0	0	1.5	0	0	0.5	0.5	1.5	0
Cav1	0	0.5	0	0	0	0	0	0	0	0.5	0
Cav2	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0
Cbfa2t3	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cbr2	0	0	0	0	0	0.5	0	0	0	0	0
Cbx3	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Cbx4	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	0
Cbx8	0	-0.5	0	0	0	-0.5	0	-0.5	-0.5	0	0
Ccbl2	0	-0.5	0	0	0	-0.5	0	0	0	-0.5	0
Ccdc101	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	-0.5
Ccdc117	0	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	0
Ccdc12	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Ccdc134	0	0	0	0	0	-0.5	0	-0.5	-0.5	0	0
Ccdc146	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0
Ccdc163	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Ccdc18	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	-0.5
Ccdc34	0	0	0	0	0	0	0	0	0	0	-0.5
Ccdc50	0	0	-0.5	0	0	-0.5	0	0	-0.5	-0.5	-0.5
Ccdc53	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Ccdc57	0	0	0	0.5	0.5	0.5	0	0.5	0.5	0.5	0
Ccdc6	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Ccdc62	0	0.5	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Ccdc69	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Ccdc85b	0	0	0	0.5	0.5	0.5	0	0.5	0	0.5	0
Ccdc88b	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Ccdc91	0	0	-0.5	0	0	0	0	0	-0.5	0	0
Ccdc94	0	0	0	0	0	0	0	0	0.5	0.5	0
Ccl11	0	0	0	0	0	0	0	0.5	0	0	0
Ccl25	0	0	-0.5	0	0	-0.5	0	0	0	0	0
Ccl3	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Ccl4	0	0	0	0	0	0	0	-0.5	0	-0.5	0
Ccl9	0	0	0	0	0	0	0.5	0.5	0.5	0	0
Ccna2	0	0	0	0	0	-0.5	0	0	0	-0.5	0
Ccnb1	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Ccnd2	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Ccnd3	0	-0.5	-0.5	0	0	-0.5	0	0	-0.5	-0.5	-0.5
Ccnf	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Ccng2	0	0	0	0	0	-0.5	0	-0.5	0	-0.5	0
Ccnyl1	0	0	0	0	0.5	0.5	0	0	0.5	1.5	0
Ccr2	0	0	0	0	0	0	0	0	-0.5	0	0
Ccr5	0	0	0	0	0	0	0	0	0.5	0	0
Ccr9	0	0	0	0	0	0	0	0	0	-0.5	-0.5
Ccrl2	0	-0.5	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Ccrn4l	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0
Cd101	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Cd109	0	0	0	0.5	0	0	0.5	0	0	0	0
Cd14	0	0	0	0.5	0.5	0.5	0	0.5	0	0	0
Cd151	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0
Cd160	0	0	0	0	0	0	0	0	0.5	0	0
Cd2	0	0	0	0.5	0	0	0.5	0.5	0	0	0
Cd200	0	0	0	0	0	0.5	0	0	0	0	0
Cd200r4	0	0	-0.5	0	0	0	0	0	0	0	0
Cd207	0	0	0	0	0	0	0	0	0	0.5	0
Cd244	0	0	0	0	0	0	0.5	0.5	0	1.5	0
Cd248	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0
Cd276	0.5	0	0	0.5	0	0.5	0.5	0.5	0	0.5	0
Cd2ap	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cd300lb	0	0	0	0	0	0	0	0.5	0	0.5	0
Cd300lf	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Cd36	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0
Cd37	0	0	0	0	0	0	0.5	0	0.5	0	0
Cd38	0	0	0	0	0	0	0	-0.5	0	-0.5	0
Cd3e	0	0	-0.5	0	0	0	0	0	0	0	0
Cd48	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cd52	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Cd55	0	0	0	0	0	0.5	0	0.5	0.5	0	0
Cd6	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	0
Cd63	0	0.5	0	0.5	0.5	0	0	0.5	0.5	0.5	0
Cd69	0	0	0	0	0	0	0	0	0	-0.5	0
Cd7	0	0	-0.5	0	0	0	0	0	-0.5	0	0
Cd72	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	0
Cd79b	0	0	-0.5	0	0	0	0	0	0	-0.5	0
Cd80	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0	0.5	0
Cd81	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Cd83	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5
Cd86	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0
Cd99l2	0	0	0	0	0	-0.5	0	-0.5	0	-0.5	-0.5
Cdc123	0	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5	0
Cdc14a	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cdc25b	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cdc27	0	0	0	0	0	0	0	0	0.5	0	0
Cdc42bpg	0	0	0	0.5	0.5	0.5	0	0.5	0.5	0.5	0
Cdc42ep4	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0
Cdc42se2	0	0.5	0	0.5	0	0.5	0	0.5	0.5	0.5	0
Cdc45	0	0	-0.5	0	0	0	0	0	0	0	-0.5
Cdc6	0	-0.5	-0.5	0	0	0	0	0	-0.5	0	0
Cdca2	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cdca3	0	0	-0.5	0	0	0	0	0	0	0	-0.5
Cdca4	0	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Cdca5	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Cdca8	0	0	-0.5	0	0	-0.5	0	0	-0.5	0	0
Cdh23	0.5	0	0	0.5	0	0.5	0.5	0.5	0	1.5	0
Cdh5	0	0.5	0	0	0	0	0	0.5	0.5	0	0
Cdipt	0	0	0	0	0	0	0	-0.5	0	-0.5	0
Cdk1	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Cdk17	0	0.5	0	0.5	0.5	0	0.5	0.5	0.5	1.5	0
Cdk18	0	0	0	0	0	0	0	0.5	0	0.5	0
Cdk19	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	-0.5
Cdk2	0	-0.5	0	0	0	-0.5	0	0	-0.5	-0.5	0
Cdk2ap2	0	-0.5	0	0	0	-0.5	0	-0.5	0	-0.5	0
Cdk5rap2	0	0	0	0	0	0	0	-0.5	0	0	-0.5
Cdk6	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0
Cdkl2	0	0	0	0	0.5	1.5	0	0.5	0	0	0
Cdkn3	0	0	-0.5	0	0	0	0	0	0	-0.5	0
Cdon	0	0.5	0	0	1.5	0	0.5	0.5	0	1.5	0
Cdt1	0	0	0	0.5	0.5	0.5	0	0.5	0	0.5	0
Cdv3	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0
Cdyl	0	-0.5	-0.5	0	0	-0.5	0	0	0	-0.5	0
Celf3	0	0	0	0	0	0.5	0	0	0	0	0
Celf4	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Celsr1	0	0	0	0.5	0	0	0.5	0	0	0	0
Cenpe	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Cenpf	0	-0.5	-0.5	0	0	0	0	0	0	0	0
Cenpj	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5
Cenpm	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Cenpo	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Cep152	0	-0.5	0	0	0	0	0	0	0	0	0
Cep192	0	0	-0.5	0	0	-0.5	0	0	0	0	0
Cep55	0	-0.5	0	0	0	-0.5	0	-0.5	0	-0.5	0
Cerk	0	0.5	0	0.5	0.5	0	0.5	0	0.5	0.5	0
Cfb	0	0	0	0	0	-0.5	0	0	0	0	0
Cfdp1	0	-0.5	-0.5	0	0	0	0	0	0	0	-0.5
Cflar	0.5	0	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0
Cgnl1	0.5	0	0	0.5	0	0	0.5	0.5	0	0.5	0
Cgref1	0	0	0	0	0	0.5	0	0.5	0.5	0	0
Chchd3	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Chchd4	0	0	0	0.5	0.5	0	0.5	0.5	0	0	0
Chd9	0	-0.5	-0.5	0	0	-0.5	0	-1.5	-0.5	-0.5	-0.5
Chmp1a	0	0	-0.5	0	0	-0.5	0	0	0	0	0
Chordc1	0	0	0	0	0	0	0	-0.5	0	-0.5	0
Chst11	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
Chst12	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Chst15	0	0	-0.5	0	0	0	0	-0.5	-0.5	0	0
Ciapin1	0	0	0	0	0.5	0	0	0.5	0.5	0	0
Ciita	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Cish	0	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Ciz1	0	-0.5	0	0	0	-0.5	0	0	-0.5	-0.5	0
Ckap2l	0	-0.5	-0.5	0	0	0	0	0	0	0	0
Ckap4	0	0	0	0	0.5	0	0	0	0.5	0.5	0
Cks1b	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0
Clca1	0	0.5	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Clcf1	0	0	0	0.5	0	0	0	0.5	0	0.5	0
Cldn1	0	0	0	0	0	0	0	0.5	0.5	0	0
Cldn12	0	0	0	0	0	0	0	0	0.5	0	0
Clec12a	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Clec1a	0	0	0	0	0	0	0	-0.5	0	-0.5	0
Clec4a2	0	0	0	0	0	0	0	0	0	-0.5	0
Clec4d	0.5	0	0	0.5	0	0	0.5	0.5	0	0.5	0
Clec9a	0	0	0	0	0	0	0	-0.5	0	0	0
Clic4	0	0	0	0.5	0.5	0.5	0.5	0	0.5	0.5	0
Clip1	0	0.5	0	0.5	0.5	0	0	0.5	0.5	0	0
Cln3	0	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0
Cln6	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0
Clpx	0.5	0	0	0	0	0	0	0.5	0	0.5	0
Clspn	0	-0.5	0	0	0	0	0	-0.5	0	-0.5	0
Cltb	0	0.5	0	0.5	0.5	0.5	0	0.5	0.5	0.5	0
Cluap1	0	-0.5	-0.5	0	0	0	0	0	0	-0.5	0
Cmc1	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Cmpk1	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0
Cmtm7	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cnbp	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0.5	0
Cnn2	0	0	0	0	0	-0.5	0	-0.5	0	-0.5	-0.5
Cnn3	0	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Cnnm2	0	0	0	0	0.5	0.5	0	0	0.5	0.5	0
Cnot10	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Cnp	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cnst	0	0	-0.5	0	0	0	0	0	0	-0.5	0
Cntln	0	-0.5	-0.5	0	0	0	0	0	0	0	-0.5
Cntrob	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Coasy	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Coch	0	0	0	0	0	0	0	0.5	0	0	0
Col12a1	0	0	0	0	0	0	0	0.5	0	0	0
Col15a1	0.5	0	0	0	0	0.5	0.5	0.5	0	0.5	0
Col17a1	0	0	0	0.5	0	0	0	0	0	0	0
Col1a2	0	0	0	0	0	0	0	0	0.5	0	0
Col23a1	0	0.5	0	0	0	0	0.5	0.5	0.5	0.5	0
Col27a1	0.5	0	0	0.5	0	0	0	0	0	0.5	0
Col4a2	0.5	0	0	0.5	0	0	0.5	0.5	0	0.5	0
Col4a3bp	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0
Col5a3	0	0	0	0	0	0	0	0	0	0.5	0
Col8a1	0	0	0	0.5	0	0	0	0	0	0	0
Colec12	0	0	0	0.5	0	0	0	0.5	0	0	0
Coq10a	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	0
Coq10b	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Coq2	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5
Coro1a	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Coro1b	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Coro2a	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cox18	0	0	0	0	0	0	0	0.5	0	0	0
Cox7a2l	0	0	0	0	0	-0.5	0	0	0	0	0
Cox8a	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cp	0	0	0	0	0	0	0	-0.5	0	-0.5	0
Cpd	0	0	0	0	0.5	0.5	0	0	0	0	0
Cpped1	0	0	-0.5	0	0	-0.5	0	-0.5	0	0	0
Cpsf3	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cpsf3l	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Cpt1a	0	-0.5	0	0	0	-0.5	0	-0.5	-0.5	-0.5	-0.5
Cradd	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0
Cramp1l	0	0.5	0	0	0	0	0	0	0.5	0.5	0
Creb3l2	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Crem	0	0	0	0	0.5	0	0	0.5	0	0.5	0
Crip1	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0
Crip2	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0
Crispld2	0	0	0	0	0	0	0	0.5	0	0	0
Crk	0.5	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0
Crot	0	0	0	0	0	0	0	-0.5	0	0	0
Crtc3	0	0	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0
Cry1	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0
Cryl1	0	0	-0.5	0	0	0	0	0	0	-0.5	0
Csf2rb	0.5	0	0	0.5	0	0	0	0.5	0.5	0	0
Csf2rb2	0.5	0	0	0.5	0	0.5	0	0	0	0	0
Csf3	0	0.5	0	0	0	0	0	0.5	0	0.5	0
Csk	0	0	-0.5	0	0	0	0	-0.5	-0.5	0	0
Csnk1e	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Csrp1	0	-0.5	0	0	0	0	0	0	0	0	0
Csrp2	0	0	0	0	0	0.5	0	0	0	0.5	0
Cstb	0	0	0	0.5	0.5	0.5	0	0	0.5	0	0
Cstf3	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0
Ctage5	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Ctc1	0	0	-0.5	0	0	0	0	0	0	-0.5	0
Ctdsp2	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Ctgf	0	0	0	0.5	0	0	0	0	0	0	0
Ctla4	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0
Ctnna1	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0
Ctnnal1	0	0.5	0	0	0.5	0.5	0	0.5	0.5	0	0
Ctnnbl1	0	0	-0.5	0	0	0	0	0	0	-0.5	0
Ctnnd2	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Ctsd	0.5	0	0	0.5	0	0.5	0	0.5	0.5	0.5	0
Ctsk	0.5	0	0	0.5	0	0	0	0	0	0	0
Cubn	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0
Cul2	0	0	0	0	0	0	0.5	0	0	0.5	0
Cul5	0	0	0	0	0.5	0.5	0	0	0	0	0
Cuta	0	0	0	0	0	-0.5	0	-0.5	0	-0.5	0
Cwc22	0	0	0	0	0.5	0	0	0	0	0	0
Cx3cr1	0	0	-0.5	0	0	0	0	0	0	-0.5	0
Cxcl1	0	0	0	0.5	0.5	0	0	0	0	0.5	0
Cxcl10	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Cxcr2	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Cxcr3	0	0	-0.5	0	0	0	0	-0.5	-0.5	0	0
Cxcr4	0	-0.5	0	0	0	-0.5	0	0	0	-0.5	-0.5
Cxxc5	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0
Cyb5r1	0	-0.5	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Cygb	0	0	0	0	0.5	0	0	0	0.5	0.5	0
Cyp27a1	0	0	-0.5	0	0	0	0	0	0	0	0
Cyp4f16	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Cyp4f18	0	0	-0.5	0	0	0	0	-0.5	-0.5	0	0
Cysltr1	0	0	-0.5	0	0	0	0	0	0	-0.5	0
Cysltr2	0	0	-0.5	0	0	0	0	0	0	0	0
Cyth1	0	0	0	0	0.5	0.5	0.5	0	0.5	0.5	0
Cyth4	0.5	0	0	0.5	0	0.5	0.5	0.5	0	0.5	0
Cyyr1	0	0	0	0.5	0	0	0	0	0	0	0
D130017n08rik	0	0	-0.5	0	0	0	0	0	0	0	0
D130040h23rik	0	0	0	0	0	0	0	-0.5	0	0	0
D2hgdh	0	0	0	0	0	-0.5	0	-0.5	0	-0.5	0
D3ertd254e	0	0	0	0	0	0	0	0	0	0.5	0
D630045j12rik	0	0	0	0	0.5	0	0	0	0.5	0	0
D6ertd527e	0	0	0	0.5	0	0	0	0	0	0	0
D730005e14rik	0	0.5	0	0	0	0	0.5	0.5	0.5	0	0
D8ertd738e	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
D8ertd82e	0.5	0	0	0	0.5	0.5	0	0	0.5	0.5	0
Dab2	0.5	0	0	0.5	0.5	0	0.5	0.5	0	0	0
Dapk1	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0.5	0
Dapp1	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Dbnl	0	0	0	0	0	-0.5	0	0	0	0	0
Dcaf10	0	0	0	0.5	0.5	0.5	0	0	0.5	0.5	0
Dcaf11	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0
Dcaf13	0	0	0	0	0.5	0.5	0	0	0	0.5	0
Dcaf8	0	0	-0.5	0	0	0	0	0	0	0	0
Dcakd	0	0	0	0	0	-0.5	0	0	0	0	0
Dclk1	0	0	0	0	0	0	0	0	0	0.5	0
Dclk2	0	0	-0.5	0	0	0	0	0	0	0	0
Dcp1b	0	-0.5	0	0	0	0	0	0	0	-0.5	0
Dcps	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Dctd	0	0	0	0	0	0	0	0	-0.5	0	0
Dctn4	0	0.5	0	0	0	0.5	0	0.5	0.5	0.5	0
Dctn5	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Dctpp1	0	0	-0.5	0	0	0	0	0	0	0	0
Ddi2	0	-0.5	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Ddit3	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	-0.5
Ddit4	0	0	0	0	0.5	0.5	0	0	0	0	0
Ddr1	0	-0.5	-0.5	0	0	-0.5	0	-0.5	0	-0.5	-0.5
Ddr2	0	0	0	0	0	0	0	0.5	0	0	0
Ddt	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5
Ddx20	0	0	0	0	0	0	0	0	0.5	0	0
Ddx26b	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0
Ddx49	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0
Ddx51	0	0	0	0	0.5	0	0	0.5	0	0	0
Ddx58	0	0	-0.5	0	0	0	0	0	0	-0.5	0
Deb1	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Decr2	0	0	0	0	0	0	0	0	0	-0.5	0
Dedd2	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Dennd1c	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Dennd4a	0.5	0	0	0.5	0.5	0	0	0.5	0.5	0.5	0
Dennd4c	0	0.5	0	0	0.5	0.5	0.5	0	0.5	0.5	0
Depdc1b	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Depdc7	0	0	0	0	0.5	0	0	0	0	0.5	0
Dexi	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5
Dgka	0	0	0	0	0	0	0	0	0.5	0.5	0
Dguok	0	0	-0.5	0	0	-0.5	0	-0.5	0	0	-0.5
Dhcr7	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Dhrs9	0	0.5	0	0	0	0	0.5	0.5	0	0.5	0
Dhx29	0	0	0	0	0	0	0	0	0	0.5	0
Diap1	0.5	0	0	0.5	0	0.5	0.5	0.5	0	0.5	0
Diap3	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0
Dido1	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
Dimt1	0	0	0	0	0.5	0	0	0.5	0	0	0
Dip2c	0	-0.5	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Dixdc1	0.5	0.5	0	0.5	0	0	0	0	0.5	0	0
Dkk3	0	0	-0.5	0	0	0	0	0	0	0	0
Dleu2	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Dlgap5	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0
Dll4	0	0	0	0	1.5	0	0	0.5	0.5	0.5	0
Dmtf1	0	0	0	0	0.5	0.5	0	0	0.5	0	0
Dmxl2	0.5	0	0	0.5	0.5	0.5	0	0	0	0	0
Dnaja1	0	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5	0
Dnajb1	0	0	-0.5	0	0	-0.5	0	-0.5	0	0	0
Dnajb13	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Dnajc14	0	0.5	0	0	0	0	0.5	0.5	0.5	0.5	0
Dnajc16	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Dnajc24	0	0	-0.5	0	0	0	0	0	0	0	0
Dnajc28	0	0	-0.5	0	0	0	0	-0.5	0	0	-0.5
Dnajc7	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Dnajc9	0	0	0	0	0	-0.5	0	0	-0.5	0	0
Dnase1l1	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0	0.5	0
Dnm1	0	0.5	0	0	0	0.5	0	0	0.5	0	0
Dock8	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	-0.5
Dok3	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Dopey1	0	-0.5	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5
