	Bach1	E2f3	Ets1	Fosl1	Hey1	Klf8	Prdm1	Stat3	Zbtb7a	Zfp263	Zfp523
Abhd14b	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Abhd15	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0
Abi3	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Abl1	0	-0.5	-0.5	0	0	-0.5	0	0	-0.5	0	0
Abtb2	0.5	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0
Acaa1a	0	-0.5	0	0	0	-0.5	0	0	-0.5	-0.5	0
Acaa2	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Acap3	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0.5	0
Acbd3	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0
Acbd6	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0
Acer2	0	0	0	0	0	0.5	0	0.5	0	0.5	0
Acot11	0	0	0	0	0	0	0	0.5	0	0.5	0
Acot2	0	-0.5	0	0	0	0	0	0	0	0	0
Acot8	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Acsbg1	0	0	0	0.5	0	0.5	0	0.5	0	0	0
Acsf3	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Acsl3	0	0.5	0	0.5	0.5	0.5	0	0	0.5	0.5	0
Acsl4	0	0	0	0	0.5	0	0	0.5	0	0.5	0
Acss1	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0
Actn1	0.5	0.5	0	0.5	0.5	0	0.5	0	0.5	1.5	0
Actr1b	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0
Acvrl1	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Adam11	0	0	0	0	0	0	0	0	0.5	0.5	0
Adam15	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0
Adam19	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	0
Adam23	0	0	0	0	0	0	0	-0.5	0	-0.5	0
Adam8	0.5	0	0	0.5	0	0.5	0	0.5	0	0.5	0
Adam9	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
Adamts4	0	0.5	0	0	0	0	0	0	0.5	0	0
Adamts7	0	0	0	0.5	0	0	0	0	0.5	0	0
Adamtsl4	0	0	-0.5	0	0	0	0	-0.5	0	0	0
Adap1	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	0	-0.5
Adarb1	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0
Adck1	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Adipor2	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	0
Adora2a	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0
Adora2b	0	0	0	0	0	0	0	0.5	0	0	0
Adpgk	0	0	0	0	0	0	0	0	0	-0.5	0
Adrb1	0	0	0	0	0	0	0	-0.5	0	0	0
Adrb2	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	0
Adrbk1	0	-0.5	-0.5	0	0	-0.5	0	0	-0.5	-0.5	0
Adss	0	0	0	0	0.5	0.5	0	0	0.5	0	0
Adssl1	0.5	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0
Aebp2	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0
Aes	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5
Afap1	0	0	0	0	0	0.5	0	0	0.5	0	0
Afap1l2	0	0	0	0	0	0	0	0	0	0.5	0
Aff1	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
Aff3	0.5	0	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0
Aff4	0	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Agk	0	0	0	0	0	0.5	0.5	0.5	0	0	0
Agpat2	0	0.5	0	0	1.5	1.5	0	0.5	0.5	1.5	0
Agpat4	0.5	0.5	0	0.5	0	0	0.5	0.5	0	0.5	0
Agpat9	0.5	0	0	0.5	0	0.5	0.5	0.5	0	0	0
Agtrap	0	0	0	0	0	0	0	0	0	0	-0.5
Ahctf1	0	0	0	0	0.5	0.5	0	0	0	0.5	0
Ahcy	0	0	-0.5	0	0	-0.5	0	0	0	0	0
Ahi1	0	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0
Ahnak	0.5	0	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0
Ahrr	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Ahsa1	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	-0.5
Ai413582	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Ai467606	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0
Ai504432	0.5	0.5	0	0.5	0.5	0	0.5	0	0	0.5	0
Aif1	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	0
Aif1l	0	0	0	0	0	-0.5	0	0	0	-0.5	0
Aifm1	0	0	0	0	0	0	0	-0.5	0	-0.5	0
Aim1	0	0.5	0	0.5	0	0.5	0.5	0	0	0.5	0
Aim2	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Aip	0	0	0	0	0	-0.5	0	0	-0.5	-0.5	0
Airn	0.5	0	0	0.5	0	0	0.5	0.5	0	0.5	0
Ak2	0	-0.5	-0.5	0	0	0	0	-0.5	0	0	-0.5
Akap12	0	0	0	0	0	0.5	0	0	0.5	0	0
Akap13	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0
Akap17b	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0
Akap2	0.5	0	0	0	0	0	0	0.5	0	0	0
Akap5	0	0.5	0	0	0	0.5	0	0.5	0.5	0	0
Akap6	0	0.5	0	0	0	1.5	0	0	0.5	0.5	0
Akna	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Akr1b10	0	0	-0.5	0	0	-0.5	0	0	0	0	0
Akr1b8	0	0	0	0.5	0	0	0	0	0.5	0	0
Akr7a5	0	0	-0.5	0	0	0	0	0	-0.5	0	0
Alas1	0	0	0	0	0.5	0	0	0	0	0.5	0
Alcam	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0	0.5	0
Aldh3a2	0	0	0	0	0	-0.5	0	0	0	0	0
Aldh4a1	0	0	0	0	0	0	0	-0.5	0	-0.5	0
Alox5ap	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
Alpk2	0.5	0	0	0.5	0	0.5	0	0.5	0	0.5	0
Alpl	0	0	0	0	0.5	0	0	0	0.5	0	0
Amica1	0	0	-0.5	0	0	0	0	0	0	0	0
Ammecr1l	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0
Amn	0	0	0	0	0	0	0	0	0.5	0	0
Amotl1	0	0	0	0	0	0.5	0	0.5	0	0.5	0
Ampd1	0	0	0	0	0	0.5	0	0	0	0.5	0
Ank	0.5	0.5	0	0.5	0	0	0.5	0.5	0.5	0	0
Ank2	0	0	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0
Ankle1	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Ankrd11	0.5	0.5	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0
Ankrd12	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0
Ankrd16	0	0	0	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Ankrd26	0	0	-0.5	0	0	0	0	0	0	0	0
Ankrd27	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Ankrd28	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0
Ankrd33b	1.5	0	0	0.5	0.5	0	0	0	0	0	0
Ankrd39	0	0	0	0	0	0	0	-0.5	0	-0.5	0
Ankrd49	0	0	0	0	0	0	0	0	0	0.5	0
Ankrd50	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0
Anks1	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Anln	0	0	0	0	0	-0.5	0	-0.5	0	-0.5	0
Antxr2	0.5	0	0	0.5	0	0.5	0.5	0.5	0	0.5	0
Anxa1	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0
Anxa11	0.5	0	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0
Anxa2	0	0	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0
Anxa3	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Anxa4	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0
Anxa5	0	0	0	0.5	0	0.5	0	0.5	0.5	0	0
Anxa6	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Anxa7	0	0	0	0.5	0	0.5	0	0	0	0	0
Aoc2	0	0.5	0	0	0.5	0	0	0	0	0	0
Ap1b1	0	0	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0
Ap1s3	0	0	-0.5	0	0	-0.5	0	0	0	-0.5	-0.5
Ap3m2	0	0	-0.5	0	0	0	0	-0.5	-0.5	-0.5	-0.5
Apba1	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	-0.5	0
Apbb2	0	0	0	0	0	0	0	0	0.5	1.5	0
Apbb3	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0
Aph1c	0.5	0	0	0.5	0	1.5	0	0.5	0	0	0
Apitd1	0	0	-0.5	0	0	0	0	0	-0.5	0	0
Apobec3	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0
Apoc2	0	-0.5	-0.5	0	0	-0.5	0	0	-0.5	0	-0.5
Apof	0	0.5	0	0	0	0.5	0	0.5	0.5	0	0
Appbp2	0	0	0	0.5	0	0.5	0	0	0	0.5	0
Appl1	0	0	0	0.5	0.5	0	0	0	0	0	0
Arap2	0	0.5	0	0.5	0.5	0	0.5	0.5	0	0	0
Arc	0	0	0	0	0.5	0	0	0	0	0	0
Areg	0	0.5	0	0	0.5	0	0	0	0	0	0
Arfgap3	0	0	0	0	0.5	0.5	0	0	0	0.5	0
Arfip2	0	0	-0.5	0	0	-0.5	0	-0.5	0	-0.5	0
Arhgap10	0.5	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0
Arhgap11a	0	0	-0.5	0	0	0	0	0	0	0	0
Arhgap15	0	0	-0.5	0	0	0	0	-0.5	0	-0.5	0
Arhgap21	0	0	0	0.5	0.5	0.5	0	0.5	0	0.5	0
