	Atf3	Bcl11a	Bcl6	Egr1	Egr2	Fos	Fosb	Jun	Klf4	Rreb1	Srf
Adcy4	0	0	0	0	0	-0.5	0	0	0	0	0
Add3	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Adora2a	0	0	0	0	0	-0.5	0	0	0	0	0
Adora3	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Adrb2	0	0	1.0	0.5	0	0.5	0	0	0	0	0
Adss	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Adssl1	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Aebp2	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Afap1l2	0	0	0	0	0	0	0	-0.5	0	0	0
Aff1	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Agap1	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Agfg2	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Agpat4	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Agpat5	0	0	0	0.5	0	0.5	0	0	0.5	0	0.5
Agpat6	0	0	0	0	0	0	0	-0.5	0	0	0
Agpat9	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Ahcy	0.5	0	0	0.5	0	0	0	0	0.5	0	0.5
Ahnak	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Ahsa1	0	0	0	0.5	0	0	0	0	0	0	0
Ai467606	0	0	0	0.5	0	0	0	0	0.5	0	0
Ai504432	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Ai662270	0	0	0	0	0	0.5	0	0	0	0	0.5
Ai846148	0.5	0	0	0	0	0	0	0	0.5	0	0.5
Aif1l	0	0	0	0	0	0	0	-0.5	0	0	0
Aig1	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Aim1	0	0	0	0	0	0	-0.5	0	0	0	0
Aim2	0	0	0	0.5	0	0.5	0	0	0	0	0
Ak2	0	0	0	0.5	0	0	0	0	0	0	0
Akap12	0	0	0	0	0	0	0	-0.5	0	0	0
Akap13	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0
Akap6	0	0	0	0	0	0	0	-0.5	0	0	0
Akap9	0	0	0	0	0	-0.5	0	-0.5	0	0	0
Akr1b10	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0
Akr7a5	0	0	0	0.5	0	0.5	0	0	0	0	0
