	Cebpa	Cebpb	E2f1	E2f4	Egr1	Elf1	Elf2	Elk1	Elk3	Elk4	Erf	Ets1	Etv1	Etv3	Etv5	Etv6	Fli1	Fos	Gabpa	Hif1a	Hsf1	Hsf2	Irf1	Irf3	Irf4	Irf7	Irf8	Irf9	Klf7	Nfe2l2	Nfya	Nfyb	Nfyc	Nrf1	Pbx1	Pbx3	Rest	Rfx7	Smarcc2	Sp1	Sp2	Sp3	Sp4	Spdef	Srf	Stat1	Stat2	Stat3	Taf1	Tbp	Thap1	Ybx1	Yy1	Zfp105	Zfp143	Zfp219
Ap3m2	0	0	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	-0.25	0
Aph1c	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Arap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Arhgap19	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	0	0
Arhgap28	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0
Arhgef18	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0
Arl2bp	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Asb2	0	0	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	-0.25	-0.58	0	0	-0.25	0	0	0	0	-0.25	0	0	-0.25
Asf1b	0	0	-0.25	-0.25	-0.25	0	0	-0.25	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	0	0	0	-0.25	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	-0.25	-0.25	-0.25	-0.25	0	0	-0.25
Asns	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0
Asph	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0
Aspm	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	0	0	0	0	0	0	0	0	-0.25	-0.25	0	0	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	0	0	0	-0.25	0	-0.25	0	0	0
Atf3	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	0	-0.25	0	-0.25	-0.25
Atp2b4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0
Aurkb	0	0	-0.25	-0.25	-0.25	-0.25	0	0	0	0	0	-0.25	0	0	0	0	0	-0.25	0	0	-0.25	0	-0.25	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	-0.25	-0.25	0	0	-0.25	-0.25	0	0	-0.25	-0.25	-0.25	-0.25	0	-0.25	0	-0.25	0	0	-0.25	-0.25	0	-0.25	0	-0.25	0
B3gnt5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0.25	0	0	0	0	0	0	0	0
B430306n03rik	0	0	0	0	-0.25	-0.25	0	0	0	0	0	-0.25	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0
